gender,age,bodyweight,beginner,novice,intermediate,advanced,elite
male,18,40,7,13,22,33,46
male,18,45,9,16,25,37,51
male,18,50,10,18,28,41,55
male,18,55,12,20,31,44,59
male,18,60,14,23,34,47,63
male,18,65,16,25,36,51,66
male,18,70,17,27,39,53,69
male,18,75,19,29,41,56,73
male,18,80,20,31,44,59,76
male,18,85,22,33,46,62,79
male,18,90,23,34,48,64,82
male,18,95,25,36,50,67,84
male,18,100,26,38,52,69,87
male,18,105,28,40,54,71,89
male,18,110,29,41,56,73,92
male,18,115,30,43,58,75,94
male,18,120,32,44,60,77,96
male,18,125,33,46,61,79,99
male,18,130,34,47,63,81,101
male,18,135,35,49,65,83,103
male,18,140,37,50,66,85,105
male,18,145,38,52,68,87,107
male,18,150,39,53,70,89,109
male,23,40,7,14,23,35,49
male,23,45,9,17,27,39,54
male,23,50,11,19,30,43,58
male,23,55,13,21,33,47,62
male,23,60,15,24,36,50,66
male,23,65,16,26,39,53,70
male,23,70,18,28,41,57,74
male,23,75,20,30,44,60,77
male,23,80,22,32,46,62,80
male,23,85,23,34,49,65,83
male,23,90,25,36,51,68,86
male,23,95,26,38,53,70,89
male,23,100,28,40,55,73,92
male,23,105,29,42,57,75,95
male,23,110,31,44,59,77,97
male,23,115,32,45,61,80,100
male,23,120,34,47,63,82,102
male,23,125,35,48,65,84,104
male,23,130,36,50,67,86,107
male,23,135,38,52,69,88,109
male,23,140,39,53,70,90,111
male,23,145,40,54,72,92,113
male,23,150,41,56,74,94,115
male,28,40,7,14,23,35,49
male,28,45,9,17,27,39,54
male,28,50,11,19,30,43,58
male,28,55,13,22,33,47,62
male,28,60,15,24,36,50,66
male,28,65,17,26,39,54,70
male,28,70,18,28,41,57,74
male,28,75,20,31,44,60,77
male,28,80,22,33,46,63,80
male,28,85,23,35,49,65,84
male,28,90,25,36,51,68,87
male,28,95,26,38,53,71,89
male,28,100,28,40,55,73,92
male,28,105,29,42,57,75,95
male,28,110,31,44,60,78,97
male,28,115,32,45,61,80,100
male,28,120,34,47,63,82,102
male,28,125,35,49,65,84,105
male,28,130,36,50,67,86,107
male,28,135,38,52,69,88,109
male,28,140,39,53,71,90,111
male,28,145,40,55,72,92,114
male,28,150,41,56,74,94,116
