gender,age,bodyweight,beginner,novice,intermediate,advanced,elite
male,18,40,16,27,40,57,75
male,18,45,21,33,48,66,85
male,18,50,26,38,55,74,95
male,18,55,30,44,61,82,104
male,18,60,35,50,68,89,112
male,18,65,40,55,74,96,120
male,18,70,44,60,80,103,128
male,18,75,48,66,86,110,135
male,18,80,53,71,92,116,142
male,18,85,57,75,98,123,149
male,18,90,61,80,103,129,156
male,18,95,65,85,108,134,162
male,18,100,69,89,113,140,168
male,18,105,73,94,118,146,174
male,18,110,77,98,123,151,180
male,18,115,80,102,128,156,186
male,18,120,84,106,132,161,191
male,18,125,87,110,137,166,197
male,18,130,91,114,141,171,202
male,18,135,94,118,145,175,207
male,18,140,98,121,149,180,212
male,18,145,101,125,153,184,217
male,18,150,104,129,157,189,221
male,23,40,17,28,43,60,80
male,23,45,22,34,50,69,90
male,23,50,27,41,58,78,100
male,23,55,32,47,65,86,110
male,23,60,37,53,72,94,118
male,23,65,42,58,79,102,127
male,23,70,47,64,85,109,135
male,23,75,51,69,91,116,143
male,23,80,56,75,97,123,151
male,23,85,60,80,103,130,158
male,23,90,65,85,109,136,165
male,23,95,69,90,114,142,172
male,23,100,73,94,120,148,178
male,23,105,77,99,125,154,184
male,23,110,81,104,130,160,191
male,23,115,85,108,135,165,197
male,23,120,89,112,140,170,202
male,23,125,92,116,144,176,208
male,23,130,96,121,149,181,213
male,23,135,100,125,153,185,219
male,23,140,103,128,158,190,224
male,23,145,107,132,162,195,229
male,23,150,110,136,166,200,234
male,28,40,17,28,43,60,80
male,28,45,22,35,51,70,91
male,28,50,27,41,58,78,101
male,28,55,32,47,65,87,110
male,28,60,37,53,72,95,119
male,28,65,42,59,79,102,128
male,28,70,47,64,85,110,136
male,28,75,51,70,92,117,144
male,28,80,56,75,98,124,151
male,28,85,60,80,104,130,158
male,28,90,65,85,109,137,165
male,28,95,69,90,115,143,172
male,28,100,73,95,120,149,179
male,28,105,77,99,125,155,185
male,28,110,81,104,131,160,191
male,28,115,85,108,135,166,197
male,28,120,89,113,140,171,203
male,28,125,93,117,145,176,209
male,28,130,97,121,150,181,214
male,28,135,100,125,154,186,220
male,28,140,104,129,158,191,225
male,28,145,107,133,163,196,230
male,28,150,111,137,167,200,235
male,33,40,17,28,43,60,80
male,33,45,22,35,51,70,91
male,33,50,27,41,58,78,101
male,33,55,32,47,65,87,110
male,33,60,37,53,72,95,119
male,33,65,42,59,79,102,128
male,33,70,47,64,85,110,136
male,33,75,51,70,92,117,144
male,33,80,56,75,98,124,151
male,33,85,60,80,104,130,158
male,33,90,65,85,109,137,165
male,33,95,69,90,115,143,172
male,33,100,73,95,120,149,179
male,33,105,77,99,125,155,185
male,33,110,81,104,131,160,191
male,33,115,85,108,135,166,197
male,33,120,89,113,140,171,203
male,33,125,93,117,145,176,209
male,33,130,97,121,150,181,214
male,33,135,100,125,154,186,220
male,33,140,104,129,158,191,225
male,33,145,107,133,163,196,230
male,33,150,111,137,167,200,235
male,38,40,17,28,43,60,80
male,38,45,22,35,51,70,91
male,38,50,27,41,58,78,101
male,38,55,32,47,65,87,110
male,38,60,37,53,72,95,119
male,38,65,42,59,79,102,128
male,38,70,47,64,85,110,136
male,38,75,51,70,92,117,144
male,38,80,56,75,98,124,151
male,38,85,60,80,104,130,158
male,38,90,65,85,109,137,165
male,38,95,69,90,115,143,172
male,38,100,73,95,120,149,179
male,38,105,77,99,125,155,185
male,38,110,81,104,131,160,191
male,38,115,85,108,135,166,197
male,38,120,89,113,140,171,203
male,38,125,93,117,145,176,209
male,38,130,97,121,150,181,214
male,38,135,100,125,154,186,220
male,38,140,104,129,158,191,225
male,38,145,107,133,163,196,230
male,38,150,111,137,167,200,235
male,43,40,17,27,42,59,78
male,43,45,21,34,49,67,88
male,43,50,26,40,56,76,97
male,43,55,31,45,63,84,107
male,43,60,36,51,70,92,115
male,43,65,41,57,77,99,124
male,43,70,45,62,83,106,132
male,43,75,50,68,89,113,139
male,43,80,54,73,95,120,147
male,43,85,59,78,100,126,154
male,43,90,63,83,106,132,160
male,43,95,67,87,111,138,167
male,43,100,71,92,117,144,173
male,43,105,75,96,122,150,180
male,43,110,79,101,127,155,185
male,43,115,83,105,131,161,191
male,43,120,86,109,136,166,197
male,43,125,90,113,141,171,202
male,43,130,94,117,145,176,208
male,43,135,97,121,149,180,213
male,43,140,101,125,154,185,218
male,43,145,104,129,158,190,223
male,43,150,107,132,162,194,228
male,48,40,16,26,39,55,73
male,48,45,20,31,46,63,83
male,48,50,25,37,53,71,92
male,48,55,29,43,59,79,100
male,48,60,34,48,66,86,108
male,48,65,38,53,72,93,116
male,48,70,43,58,78,100,124
male,48,75,47,63,84,106,131
male,48,80,51,68,89,113,138
male,48,85,55,73,94,119,144
male,48,90,59,78,100,124,151
male,48,95,63,82,105,130,157
male,48,100,67,86,110,136,163
male,48,105,70,91,114,141,169
male,48,110,74,95,119,146,174
male,48,115,78,99,123,151,180
male,48,120,81,103,128,156,185
male,48,125,85,106,132,161,190
male,48,130,88,110,136,165,195
male,48,135,91,114,140,170,200
male,48,140,94,118,144,174,205
male,48,145,98,121,148,178,210
male,48,150,101,124,152,182,214
male,53,40,14,24,36,51,68
male,53,45,19,29,43,59,77
male,53,50,23,34,49,66,85
male,53,55,27,40,55,73,93
male,53,60,31,45,61,80,101
male,53,65,35,50,67,86,108
male,53,70,39,54,72,93,115
male,53,75,43,59,77,99,121
male,53,80,47,63,83,104,128
male,53,85,51,68,88,110,134
male,53,90,55,72,92,115,140
male,53,95,58,76,97,121,146
male,53,100,62,80,102,126,151
male,53,105,65,84,106,131,156
male,53,110,69,88,110,135,162
male,53,115,72,92,114,140,167
male,53,120,75,95,119,144,172
male,53,125,78,99,123,149,176
male,53,130,82,102,126,153,181
male,53,135,85,106,130,157,186
male,53,140,88,109,134,161,190
male,53,145,91,112,138,165,194
male,53,150,93,115,141,169,199
male,58,40,13,22,33,47,62
male,58,45,17,27,39,54,70
male,58,50,21,32,45,61,78
male,58,55,25,36,51,67,85
male,58,60,29,41,56,73,92
male,58,65,33,45,61,79,99
male,58,70,36,50,66,85,105
male,58,75,40,54,71,90,111
male,58,80,43,58,76,96,117
male,58,85,47,62,80,101,123
male,58,90,50,66,85,106,128
male,58,95,53,70,89,111,133
male,58,100,57,73,93,115,139
male,58,105,60,77,97,120,143
male,58,110,63,80,101,124,148
male,58,115,66,84,105,128,153
male,58,120,69,87,109,132,157
male,58,125,72,91,112,136,162
male,58,130,75,94,116,140,166
male,58,135,78,97,119,144,170
male,58,140,80,100,123,148,174
male,58,145,83,103,126,152,178
male,58,150,86,106,129,155,182
male,63,40,12,20,30,43,56
male,63,45,16,24,36,49,64
male,63,50,19,29,41,55,71
male,63,55,23,33,46,61,77
male,63,60,26,37,51,67,84
male,63,65,30,41,56,72,90
male,63,70,33,45,60,77,95
male,63,75,36,49,65,82,101
male,63,80,39,53,69,87,106
male,63,85,43,56,73,92,111
male,63,90,46,60,77,96,116
male,63,95,49,63,81,100,121
male,63,100,52,67,85,105,126
male,63,105,54,70,88,109,130
male,63,110,57,73,92,113,135
male,63,115,60,76,95,117,139
male,63,120,63,79,99,120,143
male,63,125,65,82,102,124,147
male,63,130,68,85,105,127,151
male,63,135,70,88,108,131,155
male,63,140,73,91,111,134,158
male,63,145,75,93,114,138,162
male,63,150,78,96,117,141,165
female,18,40,9,18,31,46,64
female,18,45,12,21,34,51,69
female,18,50,14,24,38,55,74
