gender,age,bodyweight,beginner,novice,intermediate,advanced,elite
male,18,40,13,23,36,53,71
male,18,45,17,28,43,61,80
male,18,50,21,34,49,68,89
male,18,55,25,39,55,75,97
male,18,60,30,44,61,82,105
male,18,65,34,48,67,89,112
male,18,70,37,53,73,95,119
male,18,75,41,58,78,101,126
male,18,80,45,62,83,107,133
male,18,85,49,66,88,113,139
male,18,90,52,71,93,118,145
male,18,95,56,75,98,123,151
male,18,100,59,79,102,128,156
male,18,105,63,83,107,133,162
male,18,110,66,87,111,138,167
male,18,115,69,90,115,143,172
male,18,120,73,94,119,148,177
male,18,125,76,97,123,152,182
male,18,130,79,101,127,156,187
male,18,135,82,104,131,161,192
male,18,140,85,108,135,165,196
male,18,145,88,111,138,169,201
male,18,150,90,114,142,173,205
male,23,40,14,24,38,56,75
male,23,45,18,30,45,64,85
male,23,50,23,35,52,72,94
male,23,55,27,41,59,80,103
male,23,60,31,46,65,87,111
male,23,65,35,51,71,94,119
male,23,70,40,56,77,101,126
male,23,75,44,61,82,107,133
male,23,80,48,66,88,113,140
male,23,85,52,70,93,119,147
male,23,90,55,75,98,125,153
male,23,95,59,79,103,130,159
male,23,100,63,83,108,136,165
male,23,105,66,87,113,141,171
male,23,110,70,92,117,146,177
male,23,115,73,95,122,151,182
male,23,120,77,99,126,156,188
male,23,125,80,103,130,161,193
male,23,130,83,107,134,165,198
male,23,135,86,110,138,170,203
male,23,140,90,114,142,174,207
male,23,145,93,117,146,178,212
male,23,150,96,121,150,183,217
male,28,40,14,24,39,56,75
male,28,45,18,30,46,64,85
male,28,50,23,36,52,72,94
male,28,55,27,41,59,80,103
male,28,60,31,46,65,87,111
male,28,65,36,51,71,94,119
male,28,70,40,56,77,101,127
male,28,75,44,61,83,107,134
male,28,80,48,66,88,114,141
male,28,85,52,71,93,120,147
male,28,90,56,75,99,125,154
male,28,95,59,79,104,131,160
male,28,100,63,84,108,136,166
male,28,105,67,88,113,142,172
male,28,110,70,92,118,147,178
male,28,115,74,96,122,152,183
male,28,120,77,100,127,157,188
male,28,125,80,103,131,161,194
male,28,130,84,107,135,166,199
male,28,135,87,111,139,170,203
male,28,140,90,114,143,175,208
male,28,145,93,118,147,179,213
male,28,150,96,121,151,183,217
male,33,40,14,24,39,56,75
male,33,45,18,30,46,64,85
male,33,50,23,36,52,72,94
male,33,55,27,41,59,80,103
male,33,60,31,46,65,87,111
male,33,65,36,51,71,94,119
male,33,70,40,56,77,101,127
male,33,75,44,61,83,107,134
male,33,80,48,66,88,114,141
male,33,85,52,71,93,120,147
male,33,90,56,75,99,125,154
male,33,95,59,79,104,131,160
male,33,100,63,84,108,136,166
male,33,105,67,88,113,142,172
male,33,110,70,92,118,147,178
male,33,115,74,96,122,152,183
male,33,120,77,100,127,157,188
male,33,125,80,103,131,161,194
male,33,130,84,107,135,166,199
male,33,135,87,111,139,170,203
male,33,140,90,114,143,175,208
