gender,age,bodyweight,beginner,novice,intermediate,advanced,elite
male,18,40,13,26,44,68,95
male,18,45,16,30,50,75,104
male,18,50,19,35,56,82,112
male,18,55,22,39,61,88,119
male,18,60,25,43,66,94,126
male,18,65,28,47,71,100,133
male,18,70,31,50,75,105,139
male,18,75,34,54,80,111,145
male,18,80,37,57,84,115,150
male,18,85,39,61,88,120,156
male,18,90,42,64,92,125,161
male,18,95,45,67,96,129,166
male,18,100,47,70,99,133,171
male,18,105,50,73,103,137,175
male,18,110,52,76,106,141,180
male,18,115,54,79,110,145,184
male,18,120,57,82,113,149,188
male,18,125,59,84,116,153,192
male,18,130,61,87,119,156,196
male,18,135,63,89,122,159,200
male,18,140,65,92,125,163,204
male,18,145,67,94,128,166,207
male,18,150,69,97,130,169,211
male,23,40,13,27,47,72,101
male,23,45,17,32,53,80,110
male,23,50,20,37,59,87,118
male,23,55,24,41,65,93,126
male,23,60,27,45,70,100,133
male,23,65,30,49,75,106,140
male,23,70,33,53,80,111,147
male,23,75,36,57,84,117,153
male,23,80,39,61,89,122,159
male,23,85,42,64,93,127,165
male,23,90,44,68,97,132,170
male,23,95,47,71,101,137,175
male,23,100,50,74,105,141,180
male,23,105,52,77,109,145,185
male,23,110,55,80,112,150,190
male,23,115,57,83,116,154,195
male,23,120,60,86,119,158,199
male,23,125,62,89,123,161,203
male,23,130,64,92,126,165,207
male,23,135,67,95,129,169,211
male,23,140,69,97,132,172,215
male,23,145,71,100,135,176,219
male,23,150,73,102,138,179,223
male,28,40,14,27,47,72,101
male,28,45,17,32,53,80,110
male,28,50,20,37,59,87,119
male,28,55,24,41,65,94,126
male,28,60,27,45,70,100,134
male,28,65,30,50,75,106,141
male,28,70,33,53,80,112,147
male,28,75,36,57,85,117,154
male,28,80,39,61,89,123,160
male,28,85,42,64,93,128,165
male,28,90,45,68,98,132,171
male,28,95,47,71,102,137,176
male,28,100,50,74,105,142,181
male,28,105,53,78,109,146,186
male,28,110,55,81,113,150,191
male,28,115,58,84,116,154,195
male,28,120,60,87,120,158,200
male,28,125,62,89,123,162,204
male,28,130,65,92,126,166,208
male,28,135,67,95,129,169,212
male,28,140,69,98,132,173,216
male,28,145,71,100,135,176,220
male,28,150,73,103,138,180,224
male,33,40,14,27,47,72,101
male,33,45,17,32,53,80,110
male,33,50,20,37,59,87,119
male,33,55,24,41,65,94,126
male,33,60,27,45,70,100,134
male,33,65,30,50,75,106,141
male,33,70,33,53,80,112,147
male,33,75,36,57,85,117,154
male,33,80,39,61,89,123,160
male,33,85,42,64,93,128,165
male,33,90,45,68,98,132,171
male,33,95,47,71,102,137,176
male,33,100,50,74,105,142,181
male,33,105,53,78,109,146,186
male,33,110,55,81,113,150,191
male,33,115,58,84,116,154,195
male,33,120,60,87,120,158,200
male,33,125,62,89,123,162,204
male,33,130,65,92,126,166,208
male,33,135,67,95,129,169,212
male,33,140,69,98,132,173,216
male,33,145,71,100,135,176,220
male,33,150,73,103,138,180,224
male,38,40,14,27,47,72,101
male,38,45,17,32,53,80,110
male,38,50,20,37,59,87,119
male,38,55,24,41,65,94,126
male,38,60,27,45,70,100,134
male,38,65,30,50,75,106,141
male,38,70,33,53,80,112,147
male,38,75,36,57,85,117,154
male,38,80,39,61,89,123,160
male,38,85,42,64,93,128,165
male,38,90,45,68,98,132,171
male,38,95,47,71,102,137,176
male,38,100,50,74,105,142,181
male,38,105,53,78,109,146,186
male,38,110,55,81,113,150,191
male,38,115,58,84,116,154,195
male,38,120,60,87,120,158,200
male,38,125,62,89,123,162,204
male,38,130,65,92,126,166,208
male,38,135,67,95,129,169,212
male,38,140,69,98,132,173,216
male,38,145,71,100,135,176,220
male,38,150,73,103,138,180,224
male,43,40,13,27,46,70,98
male,43,45,16,31,52,78,107
male,43,50,20,36,57,84,115
male,43,55,23,40,63,91,123
male,43,60,26,44,68,97,130
male,43,65,29,48,73,103,136
male,43,70,32,52,78,109,143
male,43,75,35,55,82,114,149
male,43,80,38,59,86,119,155
male,43,85,41,62,91,124,160
male,43,90,43,66,95,128,166
male,43,95,46,69,98,133,171
male,43,100,48,72,102,137,176
male,43,105,51,75,106,141,180
male,43,110,53,78,109,146,185
male,43,115,56,81,113,149,189
male,43,120,58,84,116,153,194
male,43,125,60,87,119,157,198
male,43,130,63,89,122,161,202
male,43,135,65,92,125,164,206
male,43,140,67,95,128,168,210
male,43,145,69,97,131,171,213
male,43,150,71,100,134,174,217
male,48,40,12,25,43,66,92
male,48,45,15,29,49,73,101
male,48,50,18,34,54,79,108
male,48,55,21,38,59,85,115
male,48,60,24,41,64,91,122
male,48,65,27,45,68,97,128
male,48,70,30,49,73,102,134
male,48,75,33,52,77,107,140
male,48,80,36,55,81,112,145
male,48,85,38,59,85,116,151
male,48,90,41,62,89,121,156
male,48,95,43,65,92,125,160
male,48,100,46,68,96,129,165
male,48,105,48,71,99,133,170
male,48,110,50,74,103,137,174
male,48,115,52,76,106,140,178
male,48,120,55,79,109,144,182
male,48,125,57,81,112,148,186
male,48,130,59,84,115,151,190
male,48,135,61,86,118,154,193
male,48,140,63,89,121,157,197
male,48,145,65,91,123,161,200
male,48,150,67,94,126,164,204
male,53,40,11,23,40,61,86
male,53,45,14,27,45,68,93
male,53,50,17,31,50,74,100
male,53,55,20,35,55,79,107
male,53,60,23,38,59,85,113
male,53,65,25,42,64,90,119
