gender,age,bodyweight,beginner,novice,intermediate,advanced,elite
male,18,40,29,46,69,96,126
male,18,45,36,55,80,109,141
male,18,50,43,64,90,121,155
male,18,55,51,73,101,133,168
male,18,60,58,81,110,144,180
male,18,65,64,89,120,155,192
male,18,70,71,97,129,165,204
male,18,75,78,105,138,175,215
male,18,80,84,112,146,184,225
male,18,85,90,119,154,193,235
male,18,90,96,126,162,202,245
male,18,95,102,133,170,211,254
male,18,100,108,139,177,219,263
male,18,105,113,146,184,227,272
male,18,110,119,152,191,235,280
male,18,115,124,158,198,242,289
male,18,120,129,164,204,249,297
male,18,125,135,170,211,257,304
male,18,130,140,175,217,263,312
male,18,135,144,181,223,270,319
male,18,140,149,186,229,277,326
male,18,145,154,191,235,283,333
male,18,150,159,197,241,289,340
male,23,40,30,49,73,101,133
male,23,45,38,59,84,115,149
male,23,50,46,68,96,128,163
male,23,55,53,77,106,140,177
male,23,60,61,86,117,152,191
male,23,65,68,94,127,164,203
male,23,70,75,103,136,175,215
male,23,75,82,111,145,185,227
male,23,80,89,118,154,195,238
male,23,85,95,126,163,205,249
male,23,90,102,133,171,214,259
male,23,95,108,140,179,223,269
male,23,100,114,147,187,232,278
male,23,105,120,154,195,240,288
male,23,110,126,161,202,248,297
male,23,115,131,167,209,256,305
male,23,120,137,173,216,264,314
male,23,125,142,179,223,271,322
male,23,130,148,185,230,279,330
male,23,135,153,191,236,286,338
male,23,140,158,197,242,293,345
male,23,145,163,203,249,300,352
male,23,150,168,208,255,306,360
male,28,40,31,49,73,102,133
male,28,45,38,59,85,115,149
male,28,50,46,68,96,129,164
male,28,55,54,77,107,141,178
male,28,60,61,86,117,153,191
male,28,65,68,95,127,164,204
male,28,70,75,103,137,175,216
male,28,75,82,111,146,186,228
male,28,80,89,119,155,196,239
male,28,85,96,127,164,205,250
male,28,90,102,134,172,215,260
male,28,95,108,141,180,224,270
male,28,100,114,148,188,232,279
male,28,105,120,155,195,241,289
male,28,110,126,161,203,249,298
male,28,115,132,168,210,257,306
male,28,120,137,174,217,265,315
male,28,125,143,180,224,272,323
male,28,130,148,186,231,280,331
male,28,135,153,192,237,287,339
male,28,140,159,198,243,294,346
male,28,145,164,203,250,301,354
male,28,150,168,209,256,307,361
male,33,40,31,49,73,102,133
male,33,45,38,59,85,115,149
male,33,50,46,68,96,129,164
male,33,55,54,77,107,141,178
male,33,60,61,86,117,153,191
male,33,65,68,95,127,164,204
male,33,70,75,103,137,175,216
male,33,75,82,111,146,186,228
male,33,80,89,119,155,196,239
male,33,85,96,127,164,205,250
male,33,90,102,134,172,215,260
male,33,95,108,141,180,224,270
