gender,age,bodyweight,beginner,novice,intermediate,advanced,elite
male,18,40,5,10,17,26,37
male,18,45,7,13,20,30,41
male,18,50,9,15,23,33,45
male,18,55,10,17,26,36,48
male,18,60,12,19,28,39,52
male,18,65,13,21,31,42,55
male,18,70,15,23,33,45,58
male,18,75,16,25,35,48,61
male,18,80,18,27,37,50,64
male,18,85,19,28,40,53,67
male,18,90,21,30,42,55,69
male,18,95,22,32,44,57,72
male,18,100,24,33,46,59,74
male,18,105,25,35,47,62,77
male,18,110,26,37,49,64,79
male,18,115,28,38,51,66,81
male,18,120,29,40,53,68,84
male,18,125,30,41,54,70,86
male,18,130,31,43,56,71,88
male,18,135,33,44,58,73,90
male,18,140,34,45,59,75,92
male,18,145,35,47,61,77,94
male,18,150,36,48,62,78,95
male,23,40,6,11,18,28,39
male,23,45,7,13,21,32,43
male,23,50,9,16,24,35,47
male,23,55,11,18,27,38,51
male,23,60,12,20,30,42,55
male,23,65,14,22,32,45,58
male,23,70,16,24,35,48,62
male,23,75,17,26,37,50,65
male,23,80,19,28,40,53,68
male,23,85,21,30,42,56,71
male,23,90,22,32,44,58,73
male,23,95,24,34,46,61,76
male,23,100,25,35,48,63,79
male,23,105,26,37,50,65,81
male,23,110,28,39,52,67,84
male,23,115,29,40,54,69,86
male,23,120,31,42,56,72,88
male,23,125,32,43,58,74,91
male,23,130,33,45,59,75,93
male,23,135,34,46,61,77,95
male,23,140,36,48,63,79,97
male,23,145,37,49,64,81,99
male,23,150,38,51,66,83,101
male,28,40,6,11,19,28,39
male,28,45,7,13,22,32,43
male,28,50,9,16,24,35,47
male,28,55,11,18,27,39,51
male,28,60,13,20,30,42,55
male,28,65,14,22,33,45,58
male,28,70,16,24,35,48,62
male,28,75,17,26,37,51,65
male,28,80,19,28,40,53,68
male,28,85,21,30,42,56,71
male,28,90,22,32,44,58,74
male,28,95,24,34,46,61,76
male,28,100,25,36,48,63,79
male,28,105,27,37,50,65,82
male,28,110,28,39,52,68,84
male,28,115,29,41,54,70,86
male,28,120,31,42,56,72,89
male,28,125,32,44,58,74,91
male,28,130,33,45,59,76,93
male,28,135,35,47,61,78,95
male,28,140,36,48,63,80,97
male,28,145,37,50,64,81,99
male,28,150,38,51,66,83,101
male,33,40,6,11,19,28,39
male,33,45,7,13,22,32,43
male,33,50,9,16,24,35,47
male,33,55,11,18,27,39,51
male,33,60,13,20,30,42,55
male,33,65,14,22,33,45,58
male,33,70,16,24,35,48,62
male,33,75,17,26,37,51,65
male,33,80,19,28,40,53,68
male,33,85,21,30,42,56,71
male,33,90,22,32,44,58,74
male,33,95,24,34,46,61,76
male,33,100,25,36,48,63,79
male,33,105,27,37,50,65,82
male,33,110,28,39,52,68,84
male,33,115,29,41,54,70,86
male,33,120,31,42,56,72,89
male,33,125,32,44,58,74,91
male,33,130,33,45,59,76,93
male,33,135,35,47,61,78,95
male,33,140,36,48,63,80,97
male,33,145,37,50,64,81,99
male,33,150,38,51,66,83,101
male,38,40,6,11,19,28,39
male,38,45,7,13,22,32,43
male,38,50,9,16,24,35,47
male,38,55,11,18,27,39,51
male,38,60,13,20,30,42,55
male,38,65,14,22,33,45,58
male,38,70,16,24,35,48,62
male,38,75,17,26,37,51,65
male,38,80,19,28,40,53,68
male,38,85,21,30,42,56,71
male,38,90,22,32,44,58,74
male,38,95,24,34,46,61,76
male,38,100,25,36,48,63,79
male,38,105,27,37,50,65,82
male,38,110,28,39,52,68,84
male,38,115,29,41,54,70,86
male,38,120,31,42,56,72,89
male,38,125,32,44,58,74,91
male,38,130,33,45,59,76,93
male,38,135,35,47,61,78,95
male,38,140,36,48,63,80,97
male,38,145,37,50,64,81,99
male,38,150,38,51,66,83,101
male,43,40,5,11,18,27,38
male,43,45,7,13,21,31,42
male,43,50,9,15,24,34,46
male,43,55,10,17,26,37,50
male,43,60,12,19,29,41,53
male,43,65,14,22,32,44,57
male,43,70,15,24,34,46,60
male,43,75,17,26,36,49,63
male,43,80,19,27,39,52,66
male,43,85,20,29,41,54,69
male,43,90,22,31,43,57,71
male,43,95,23,33,45,59,74
male,43,100,24,34,47,61,77
male,43,105,26,36,49,63,79
male,43,110,27,38,51,66,81
male,43,115,28,39,52,68,84
male,43,120,30,41,54,70,86
male,43,125,31,42,56,72,88
male,43,130,32,44,58,73,90
male,43,135,34,45,59,75,92
male,43,140,35,47,61,77,94
male,43,145,36,48,62,79,96
male,43,150,37,49,64,81,98
male,48,40,5,10,17,26,35
male,48,45,7,12,20,29,39
male,48,50,8,14,22,32,43
male,48,55,10,16,25,35,47
male,48,60,11,18,27,38,50
male,48,65,13,20,30,41,53
male,48,70,14,22,32,44,56
male,48,75,16,24,34,46,59
male,48,80,17,26,36,49,62
male,48,85,19,27,38,51,65
male,48,90,20,29,40,53,67
male,48,95,22,31,42,55,70
male,48,100,23,32,44,58,72
male,48,105,24,34,46,60,74
male,48,110,25,35,48,62,77
male,48,115,27,37,49,64,79
male,48,120,28,38,51,65,81
male,48,125,29,40,53,67,83
male,48,130,30,41,54,69,85
male,48,135,32,42,56,71,87
male,48,140,33,44,57,72,89
male,48,145,34,45,59,74,90
male,48,150,35,46,60,76,92
male,53,40,5,9,16,24,33
male,53,45,6,11,18,27,37
male,53,50,8,13,21,30,40
male,53,55,9,15,23,33,43
male,53,60,11,17,25,35,46
male,53,65,12,19,28,38,49
male,53,70,13,21,30,40,52
male,53,75,15,22,32,43,55
male,53,80,16,24,34,45,57
male,53,85,17,25,36,47,60
male,53,90,19,27,37,49,62
male,53,95,20,29,39,51,65
male,53,100,21,30,41,53,67
male,53,105,22,31,43,55,69
male,53,110,24,33,44,57,71
male,53,115,25,34,46,59,73
male,53,120,26,36,47,61,75
male,53,125,27,37,49,62,77
male,53,130,28,38,50,64,79
male,53,135,29,39,52,66,80
male,53,140,30,41,53,67,82
male,53,145,31,42,54,69,84
male,53,150,32,43,56,70,86
male,58,40,4,8,14,22,30
male,58,45,6,10,17,25,34
male,58,50,7,12,19,27,37
male,58,55,8,14,21,30,40
male,58,60,10,16,23,32,43
male,58,65,11,17,25,35,45
male,58,70,12,19,27,37,48
male,58,75,14,20,29,39,50
male,58,80,15,22,31,41,53
male,58,85,16,23,33,43,55
male,58,90,17,25,34,45,57
male,58,95,18,26,36,47,59
male,58,100,19,28,37,49,61
male,58,105,21,29,39,51,63
male,58,110,22,30,40,52,65
male,58,115,23,31,42,54,67
male,58,120,24,33,43,56,69
male,58,125,25,34,45,57,70
male,58,130,26,35,46,59,72
male,58,135,27,36,47,60,74
male,58,140,28,37,49,62,75
male,58,145,29,38,50,63,77
male,58,150,30,39,51,64,78
male,63,40,4,8,13,20,27
male,63,45,5,9,15,22,30
male,63,50,6,11,17,25,33
male,63,55,8,13,19,27,36
male,63,60,9,14,21,29,39
male,63,65,10,16,23,32,41
male,63,70,11,17,25,34,43
male,63,75,12,19,26,36,46
male,63,80,13,20,28,37,48
male,63,85,15,21,30,39,50
male,63,90,16,23,31,41,52
male,63,95,17,24,33,43,54
male,63,100,18,25,34,44,56
male,63,105,19,26,35,46,57
male,63,110,20,27,37,48,59
male,63,115,21,29,38,49,61
male,63,120,22,30,39,50,62
male,63,125,23,31,41,52,64
male,63,130,23,32,42,53,66
male,63,135,24,33,43,55,67
male,63,140,25,34,44,56,68
male,63,145,26,35,45,57,70
male,63,150,27,36,46,58,71
female,18,40,3,7,13,20,28
female,18,45,4,8,14,22,30
female,18,50,5,9,15,23,32
female,18,55,6,10,17,25,34
female,18,60,6,11,18,26,35
female,18,65,7,12,19,27,37
female,18,70,8,13,20,29,38
female,18,75,8,14,21,30,40
female,18,80,9,14,22,31,41
female,23,40,4,8,14,21,30
female,23,45,4,9,15,23,32
female,23,50,5,10,16,25,34
female,23,55,6,11,18,26,36
female,23,60,7,12,19,28,37
female,23,65,7,13,20,29,39
female,23,70,8,14,21,30,41
female,23,75,9,14,22,32,42
female,23,80,9,15,23,33,43
female,28,40,4,8,14,21,30
female,28,45,4,9,15,23,32
female,28,50,5,10,16,25,34
female,28,55,6,11,18,26,36
female,28,60,7,12,19,28,38
female,28,65,7,13,20,29,39
female,28,70,8,14,21,30,41
female,28,75,9,14,22,32,42
female,28,80,9,15,23,33,44
female,33,40,4,8,14,21,30
female,33,45,4,9,15,23,32
female,33,50,5,10,16,25,34
female,33,55,6,11,18,26,36
female,33,60,7,12,19,28,38
female,33,65,7,13,20,29,39
female,33,70,8,14,21,30,41
female,33,75,9,14,22,32,42
female,33,80,9,15,23,33,44
female,38,40,4,8,14,21,30
female,38,45,4,9,15,23,32
female,38,50,5,10,16,25,34
female,38,55,6,11,18,26,36
female,38,60,7,12,19,28,38
female,38,65,7,13,20,29,39
female,38,70,8,14,21,30,41
female,38,75,9,14,22,32,42
female,38,80,9,15,23,33,44
female,43,40,4,7,13,21,29
female,43,45,4,9,15,22,31
female,43,50,5,10,16,24,33
female,43,55,6,11,17,25,35
female,43,60,6,11,18,27,36
female,43,65,7,12,19,28,38
female,43,70,8,13,21,29,39
female,43,75,8,14,22,31,41
female,43,80,9,15,23,32,42
female,48,40,3,7,12,19,27
female,48,45,4,8,14,21,29
female,48,50,5,9,15,22,31
female,48,55,5,10,16,24,33
female,48,60,6,11,17,25,34
female,48,65,7,12,18,26,36
female,48,70,7,12,19,28,37
female,48,75,8,13,20,29,38
female,48,80,8,14,21,30,40
female,53,40,3,7,12,18,25
female,53,45,4,7,13,19,27
female,53,50,4,8,14,21,29
female,53,55,5,9,15,22,30
female,53,60,6,10,16,23,32
female,53,65,6,11,17,25,33
female,53,70,7,12,18,26,34
female,53,75,7,12,19,27,36
female,53,80,8,13,20,28,37
female,58,40,3,6,11,16,23
female,58,45,3,7,12,18,25
female,58,50,4,8,13,19,26
female,58,55,5,8,14,20,28
female,58,60,5,9,15,21,29
female,58,65,6,10,16,23,30
female,58,70,6,11,16,24,32
female,58,75,7,11,17,24,33
female,58,80,7,12,18,25,34
female,63,40,3,5,10,15,21
female,63,45,3,6,11,16,23
female,63,50,4,7,12,17,24
female,63,55,4,8,12,18,25
female,63,60,5,8,13,19,26
female,63,65,5,9,14,20,28
female,63,70,6,10,15,21,29
female,63,75,6,10,16,22,30
female,63,80,7,11,16,23,31
