gender,age,bodyweight,beginner,novice,intermediate,advanced,elite
male,18,40,3,6,11,18,26
male,18,45,3,7,13,20,29
male,18,50,4,8,14,22,31
male,18,55,5,9,15,23,32
male,18,60,5,10,16,25,34
male,18,65,6,11,18,26,36
male,18,70,7,12,19,27,37
male,18,75,7,12,20,29,39
male,18,80,8,13,21,30,40
male,18,85,8,14,22,31,41
male,18,90,9,15,23,32,43
male,18,95,9,16,23,33,44
male,18,100,10,16,24,34,45
male,18,105,11,17,25,35,46
male,18,110,11,18,26,36,47
male,18,115,12,18,27,37,48
male,18,120,12,19,27,38,49
male,18,125,13,19,28,39,50
male,18,130,13,20,29,40,51
male,18,135,13,21,30,40,52
male,18,140,14,21,30,41,53
male,18,145,14,22,31,42,54
male,18,150,15,22,32,43,55
male,23,40,3,6,12,19,28
male,23,45,3,8,13,21,30
male,23,50,4,9,15,23,32
male,23,55,5,10,16,25,34
male,23,60,6,11,17,26,36
male,23,65,6,11,19,28,38
male,23,70,7,12,20,29,39
male,23,75,8,13,21,30,41
male,23,80,8,14,22,32,42
male,23,85,9,15,23,33,44
male,23,90,9,16,24,34,45
male,23,95,10,16,25,35,46
male,23,100,11,17,26,36,48
male,23,105,11,18,27,37,49
male,23,110,12,19,27,38,50
male,23,115,12,19,28,39,51
male,23,120,13,20,29,40,52
male,23,125,13,21,30,41,53
male,23,130,14,21,31,42,54
male,23,135,14,22,31,43,55
male,23,140,15,22,32,44,56
male,23,145,15,23,33,44,57
male,23,150,16,24,33,45,58
male,28,40,3,6,12,19,28
male,28,45,3,8,14,21,30
male,28,50,4,9,15,23,32
male,28,55,5,10,16,25,34
male,28,60,6,11,18,26,36
male,28,65,6,11,19,28,38
male,28,70,7,12,20,29,39
male,28,75,8,13,21,30,41
male,28,80,8,14,22,32,42
male,28,85,9,15,23,33,44
male,28,90,9,16,24,34,45
male,28,95,10,16,25,35,47
male,28,100,11,17,26,36,48
male,28,105,11,18,27,37,49
male,28,110,12,19,28,38,50
male,28,115,12,19,28,39,51
male,28,120,13,20,29,40,52
male,28,125,13,21,30,41,53
male,28,130,14,21,31,42,54
male,28,135,14,22,31,43,55
male,28,140,15,22,32,44,56
male,28,145,15,23,33,44,57
male,28,150,16,24,34,45,58
male,33,40,3,6,12,19,28
male,33,45,3,8,14,21,30
male,33,50,4,9,15,23,32
male,33,55,5,10,16,25,34
male,33,60,6,11,18,26,36
male,33,65,6,11,19,28,38
male,33,70,7,12,20,29,39
male,33,75,8,13,21,30,41
male,33,80,8,14,22,32,42
male,33,85,9,15,23,33,44
male,33,90,9,16,24,34,45
male,33,95,10,16,25,35,47
male,33,100,11,17,26,36,48
male,33,105,11,18,27,37,49
male,33,110,12,19,28,38,50
male,33,115,12,19,28,39,51
male,33,120,13,20,29,40,52
male,33,125,13,21,30,41,53
male,33,130,14,21,31,42,54
male,33,135,14,22,31,43,55
male,33,140,15,22,32,44,56
male,33,145,15,23,33,44,57
male,33,150,16,24,34,45,58
male,38,40,3,6,12,19,28
male,38,45,3,8,14,21,30
male,38,50,4,9,15,23,32
male,38,55,5,10,16,25,34
male,38,60,6,11,18,26,36
male,38,65,6,11,19,28,38
male,38,70,7,12,20,29,39
male,38,75,8,13,21,30,41
male,38,80,8,14,22,32,42
male,38,85,9,15,23,33,44
male,38,90,9,16,24,34,45
male,38,95,10,16,25,35,47
male,38,100,11,17,26,36,48
male,38,105,11,18,27,37,49
male,38,110,12,19,28,38,50
male,38,115,12,19,28,39,51
male,38,120,13,20,29,40,52
male,38,125,13,21,30,41,53
male,38,130,14,21,31,42,54
male,38,135,14,22,31,43,55
male,38,140,15,22,32,44,56
male,38,145,15,23,33,44,57
male,38,150,16,24,34,45,58
male,43,40,3,6,12,19,27
male,43,45,3,7,13,21,29
male,43,50,4,8,14,22,31
male,43,55,5,9,16,24,33
male,43,60,5,10,17,25,35
male,43,65,6,11,18,27,37
male,43,70,7,12,19,28,38
male,43,75,7,13,20,29,40
male,43,80,8,14,21,31,41
male,43,85,9,14,22,32,43
male,43,90,9,15,23,33,44
male,43,95,10,16,24,34,45
male,43,100,10,17,25,35,46
male,43,105,11,17,26,36,47
male,43,110,11,18,27,37,49
male,43,115,12,19,28,38,50
male,43,120,12,19,28,39,51
male,43,125,13,20,29,40,52
male,43,130,13,21,30,41,53
male,43,135,14,21,31,42,54
male,43,140,14,22,31,42,55
male,43,145,15,22,32,43,55
male,43,150,15,23,33,44,56
male,48,40,2,6,11,18,26
male,48,45,3,7,12,19,28
male,48,50,4,8,14,21,30
male,48,55,4,9,15,22,31
male,48,60,5,10,16,24,33
male,48,65,6,10,17,25,34
male,48,70,6,11,18,26,36
male,48,75,7,12,19,28,37
male,48,80,7,13,20,29,39
male,48,85,8,14,21,30,40
male,48,90,9,14,22,31,41
male,48,95,9,15,23,32,42
male,48,100,10,16,24,33,43
male,48,105,10,16,24,34,45
male,48,110,11,17,25,35,46
male,48,115,11,18,26,36,47
male,48,120,12,18,27,37,48
male,48,125,12,19,27,37,49
male,48,130,13,19,28,38,49
male,48,135,13,20,29,39,50
male,48,140,13,20,29,40,51
male,48,145,14,21,30,41,52
male,48,150,14,22,31,41,53
male,53,40,2,5,10,16,24
male,53,45,3,6,11,18,26
male,53,50,4,7,13,19,27
male,53,55,4,8,14,21,29
male,53,60,5,9,15,22,31
male,53,65,5,10,16,23,32
male,53,70,6,10,17,25,33
male,53,75,6,11,18,26,35
male,53,80,7,12,19,27,36
male,53,85,7,13,19,28,37
male,53,90,8,13,20,29,38
male,53,95,8,14,21,30,39
male,53,100,9,15,22,31,40
male,53,105,9,15,23,31,41
male,53,110,10,16,23,32,42
male,53,115,10,16,24,33,43
male,53,120,11,17,25,34,44
male,53,125,11,17,25,35,45
male,53,130,12,18,26,35,46
male,53,135,12,18,27,36,47
male,53,140,13,19,27,37,48
male,53,145,13,19,28,38,48
male,53,150,13,20,28,38,49
male,58,40,2,5,9,15,22
male,58,45,3,6,10,16,23
male,58,50,3,7,12,18,25
male,58,55,4,7,13,19,27
male,58,60,4,8,14,20,28
male,58,65,5,9,14,21,29
male,58,70,5,10,15,23,31
male,58,75,6,10,16,24,32
male,58,80,6,11,17,25,33
male,58,85,7,12,18,25,34
male,58,90,7,12,19,26,35
male,58,95,8,13,19,27,36
male,58,100,8,13,20,28,37
male,58,105,9,14,21,29,38
male,58,110,9,14,21,30,39
male,58,115,9,15,22,30,40
male,58,120,10,15,23,31,40
male,58,125,10,16,23,32,41
