gender,age,bodyweight,beginner,novice,intermediate,advanced,elite
male,18,40,1,4,8,14,21
male,18,45,2,5,9,16,23
male,18,50,2,5,10,17,25
male,18,55,3,6,11,18,26
male,18,60,3,7,12,19,27
male,18,65,4,7,13,20,29
male,18,70,4,8,14,21,30
male,18,75,4,9,15,22,31
male,18,80,5,9,16,23,32
male,18,85,5,10,16,24,33
male,18,90,6,10,17,25,34
male,18,95,6,11,18,26,35
male,18,100,6,12,18,27,36
male,18,105,7,12,19,28,37
male,18,110,7,13,20,28,38
male,18,115,8,13,20,29,39
male,18,120,8,14,21,30,40
male,18,125,8,14,21,30,41
male,18,130,9,14,22,31,41
male,18,135,9,15,23,32,42
male,18,140,9,15,23,32,43
male,18,145,10,16,24,33,44
male,18,150,10,16,24,34,44
male,23,40,1,4,9,15,22
male,23,45,2,5,10,16,24
male,23,50,2,6,11,18,26
male,23,55,3,6,12,19,28
male,23,60,3,7,13,20,29
male,23,65,4,8,14,22,30
male,23,70,4,9,15,23,32
male,23,75,5,9,16,24,33
male,23,80,5,10,16,25,34
male,23,85,6,10,17,26,35
male,23,90,6,11,18,27,36
male,23,95,6,12,19,27,37
male,23,100,7,12,19,28,38
male,23,105,7,13,20,29,39
male,23,110,8,13,21,30,40
male,23,115,8,14,21,31,41
male,23,120,8,14,22,32,42
male,23,125,9,15,23,32,43
male,23,130,9,15,23,33,44
male,23,135,10,16,24,34,45
male,23,140,10,16,24,34,45
male,23,145,10,17,25,35,46
male,23,150,11,17,26,36,47
male,28,40,1,4,9,15,23
male,28,45,2,5,10,17,24
male,28,50,2,6,11,18,26
male,28,55,3,6,12,19,28
male,28,60,3,7,13,20,29
male,28,65,4,8,14,22,31
male,28,70,4,9,15,23,32
male,28,75,5,9,16,24,33
male,28,80,5,10,16,25,34
male,28,85,6,10,17,26,35
male,28,90,6,11,18,27,37
male,28,95,6,12,19,28,38
male,28,100,7,12,19,28,39
male,28,105,7,13,20,29,40
male,28,110,8,13,21,30,40
male,28,115,8,14,22,31,41
male,28,120,8,14,22,32,42
male,28,125,9,15,23,32,43
male,28,130,9,15,23,33,44
male,28,135,10,16,24,34,45
male,28,140,10,16,25,34,46
male,28,145,10,17,25,35,46
male,28,150,11,17,26,36,47
male,33,40,1,4,9,15,23
male,33,45,2,5,10,17,24
male,33,50,2,6,11,18,26
male,33,55,3,6,12,19,28
male,33,60,3,7,13,20,29
male,33,65,4,8,14,22,31
male,33,70,4,9,15,23,32
male,33,75,5,9,16,24,33
male,33,80,5,10,16,25,34
male,33,85,6,10,17,26,35
male,33,90,6,11,18,27,37
male,33,95,6,12,19,28,38
male,33,100,7,12,19,28,39
male,33,105,7,13,20,29,40
male,33,110,8,13,21,30,40
male,33,115,8,14,22,31,41
male,33,120,8,14,22,32,42
male,33,125,9,15,23,32,43
male,33,130,9,15,23,33,44
male,33,135,10,16,24,34,45
male,33,140,10,16,25,34,46
male,33,145,10,17,25,35,46
male,33,150,11,17,26,36,47
male,38,40,1,4,9,15,23
male,38,45,2,5,10,17,24
male,38,50,2,6,11,18,26
male,38,55,3,6,12,19,28
male,38,60,3,7,13,20,29
male,38,65,4,8,14,22,31
male,38,70,4,9,15,23,32
male,38,75,5,9,16,24,33
male,38,80,5,10,16,25,34
male,38,85,6,10,17,26,35
male,38,90,6,11,18,27,37
male,38,95,6,12,19,28,38
male,38,100,7,12,19,28,39
male,38,105,7,13,20,29,40
male,38,110,8,13,21,30,40
male,38,115,8,14,22,31,41
male,38,120,8,14,22,32,42
male,38,125,9,15,23,32,43
male,38,130,9,15,23,33,44
male,38,135,10,16,24,34,45
male,38,140,10,16,25,34,46
male,38,145,10,17,25,35,46
male,38,150,11,17,26,36,47
male,43,40,1,4,8,15,22
male,43,45,2,5,10,16,24
male,43,50,2,6,11,17,25
male,43,55,3,6,12,19,27
male,43,60,3,7,13,20,28
male,43,65,4,8,13,21,30
male,43,70,4,8,14,22,31
male,43,75,5,9,15,23,32
male,43,80,5,10,16,24,33
male,43,85,5,10,17,25,34
male,43,90,6,11,17,26,35
male,43,95,6,11,18,27,36
male,43,100,7,12,19,28,37
male,43,105,7,12,20,28,38
male,43,110,7,13,20,29,39
male,43,115,8,13,21,30,40
male,43,120,8,14,21,31,41
male,43,125,9,14,22,31,42
male,43,130,9,15,23,32,43
male,43,135,9,15,23,33,43
male,43,140,10,16,24,33,44
male,43,145,10,16,24,34,45
male,43,150,10,17,25,35,46
male,48,40,1,4,8,14,21
male,48,45,2,5,9,15,22
male,48,50,2,5,10,16,24
male,48,55,3,6,11,17,25
male,48,60,3,7,12,19,27
male,48,65,3,7,13,20,28
male,48,70,4,8,13,21,29
male,48,75,4,8,14,22,30
male,48,80,5,9,15,23,31
male,48,85,5,10,16,23,32
male,48,90,5,10,16,24,33
male,48,95,6,11,17,25,34
male,48,100,6,11,18,26,35
male,48,105,7,12,18,27,36
male,48,110,7,12,19,27,37
male,48,115,7,13,20,28,38
male,48,120,8,13,20,29,38
male,48,125,8,14,21,29,39
male,48,130,8,14,21,30,40
male,48,135,9,14,22,31,41
male,48,140,9,15,22,31,41
male,48,145,9,15,23,32,42
male,48,150,10,16,23,33,43
male,53,40,1,4,7,13,19
male,53,45,2,4,8,14,21
male,53,50,2,5,9,15,22
male,53,55,2,5,10,16,23
male,53,60,3,6,11,17,25
male,53,65,3,7,12,18,26
male,53,70,4,7,13,19,27
male,53,75,4,8,13,20,28
male,53,80,4,8,14,21,29
male,53,85,5,9,15,22,30
male,53,90,5,9,15,23,31
male,53,95,5,10,16,23,32
male,53,100,6,10,16,24,33
male,53,105,6,11,17,25,33
male,53,110,6,11,18,25,34
male,53,115,7,12,18,26,35
male,53,120,7,12,19,27,36
male,53,125,7,13,19,27,36
male,53,130,8,13,20,28,37
male,53,135,8,13,20,29,38
male,53,140,8,14,21,29,38
male,53,145,9,14,21,30,39
male,53,150,9,15,22,30,40
male,58,40,1,3,7,12,17
male,58,45,1,4,8,13,19
male,58,50,2,4,9,14,20
male,58,55,2,5,9,15,21
male,58,60,3,6,10,16,23
male,58,65,3,6,11,17,24
male,58,70,3,7,11,18,25
male,58,75,4,7,12,18,26
male,58,80,4,8,13,19,27
male,58,85,4,8,13,20,27
male,58,90,5,9,14,21,28
male,58,95,5,9,15,21,29
male,58,100,5,9,15,22,30
male,58,105,6,10,16,23,31
male,58,110,6,10,16,23,31
male,58,115,6,11,17,24,32
male,58,120,7,11,17,25,33
male,58,125,7,11,18,25,33
male,58,130,7,12,18,26,34
male,58,135,7,12,19,26,35
male,58,140,8,13,19,27,35
male,58,145,8,13,19,27,36
male,58,150,8,13,20,28,36
male,63,40,1,3,6,11,16
male,63,45,1,3,7,12,17
male,63,50,2,4,8,13,18
male,63,55,2,5,8,14,19
male,63,60,2,5,9,14,20
male,63,65,3,6,10,15,21
male,63,70,3,6,10,16,22
male,63,75,3,7,11,17,23
male,63,80,4,7,12,17,24
male,63,85,4,7,12,18,25
male,63,90,4,8,13,19,26
male,63,95,5,8,13,19,26
male,63,100,5,9,14,20,27
male,63,105,5,9,14,21,28
male,63,110,5,9,15,21,28
male,63,115,6,10,15,22,29
male,63,120,6,10,16,22,30
male,63,125,6,10,16,23,30
male,63,130,6,11,16,23,31
male,63,135,7,11,17,24,31
male,63,140,7,11,17,24,32
male,63,145,7,12,18,25,33
male,63,150,8,12,18,25,33
female,18,40,2,4,7,10,14
female,18,45,2,4,7,11,15
female,18,50,3,5,8,11,15
female,18,55,3,5,8,12,16
female,18,60,3,5,8,12,16
female,18,65,3,5,9,12,17
female,18,70,3,6,9,13,17
female,18,75,3,6,9,13,17
female,18,80,4,6,9,13,18
female,23,40,2,4,7,11,15
female,23,45,2,5,8,11,16
female,23,50,3,5,8,12,16
female,23,55,3,5,8,12,17
female,23,60,3,5,9,13,17
female,23,65,3,6,9,13,18
female,23,70,3,6,9,13,18
female,23,75,4,6,10,14,18
female,23,80,4,6,10,14,19
female,28,40,2,4,7,11,15
female,28,45,2,5,8,12,16
female,28,50,3,5,8,12,16
female,28,55,3,5,8,12,17
female,28,60,3,6,9,13,17
female,28,65,3,6,9,13,18
female,28,70,3,6,9,14,18
female,28,75,4,6,10,14,19
female,28,80,4,6,10,14,19
female,33,40,2,4,7,11,15
female,33,45,2,5,8,12,16
female,33,50,3,5,8,12,16
female,33,55,3,5,8,12,17
female,33,60,3,6,9,13,17
female,33,65,3,6,9,13,18
female,33,70,3,6,9,14,18
female,33,75,4,6,10,14,19
female,33,80,4,6,10,14,19
female,38,40,2,4,7,11,15
female,38,45,2,5,8,12,16
female,38,50,3,5,8,12,16
female,38,55,3,5,8,12,17
female,38,60,3,6,9,13,17
female,38,65,3,6,9,13,18
female,38,70,3,6,9,14,18
female,38,75,4,6,10,14,19
female,38,80,4,6,10,14,19
female,43,40,2,4,7,11,15
female,43,45,2,5,7,11,15
female,43,50,3,5,8,12,16
female,43,55,3,5,8,12,16
female,43,60,3,5,9,12,17
female,43,65,3,6,9,13,17
female,43,70,3,6,9,13,18
female,43,75,4,6,9,13,18
female,43,80,4,6,10,14,18
female,48,40,2,4,7,10,14
female,48,45,2,4,7,10,14
female,48,50,2,5,7,11,15
female,48,55,3,5,8,11,15
female,48,60,3,5,8,12,16
female,48,65,3,5,8,12,16
female,48,70,3,5,9,12,17
female,48,75,3,6,9,13,17
female,48,80,3,6,9,13,17
female,53,40,2,4,6,9,13
female,53,45,2,4,7,10,13
female,53,50,2,4,7,10,14
female,53,55,2,4,7,10,14
female,53,60,3,5,7,11,15
female,53,65,3,5,8,11,15
