gender,age,bodyweight,beginner,novice,intermediate,advanced,elite
male,18,40,4,10,18,28,40
male,18,45,6,12,21,32,45
male,18,50,8,15,24,36,49
male,18,55,10,17,27,40,54
male,18,60,11,19,30,43,58
male,18,65,13,22,33,46,61
male,18,70,15,24,35,49,65
male,18,75,16,26,38,53,68
male,18,80,18,28,41,55,72
male,18,85,20,30,43,58,75
male,18,90,21,32,45,61,78
male,18,95,23,34,48,64,81
male,18,100,24,36,50,66,84
male,18,105,26,38,52,69,87
male,18,110,27,39,54,71,89
male,18,115,29,41,56,73,92
male,18,120,30,43,58,76,95
male,18,125,32,44,60,78,97
male,18,130,33,46,62,80,100
male,18,135,35,48,64,82,102
male,18,140,36,49,66,84,104
male,18,145,37,51,67,86,106
male,18,150,38,52,69,88,109
male,23,40,5,10,19,30,42
male,23,45,7,13,22,34,47
male,23,50,8,16,26,38,52
male,23,55,10,18,29,42,57
male,23,60,12,20,32,45,61
male,23,65,14,23,35,49,65
male,23,70,16,25,37,52,69
male,23,75,17,27,40,56,72
male,23,80,19,30,43,59,76
male,23,85,21,32,45,62,79
male,23,90,23,34,48,65,83
male,23,95,24,36,50,67,86
male,23,100,26,38,53,70,89
male,23,105,27,40,55,73,92
male,23,110,29,42,57,75,95
male,23,115,31,43,59,78,97
male,23,120,32,45,61,80,100
male,23,125,34,47,63,82,103
male,23,130,35,49,65,85,105
male,23,135,36,50,67,87,108
male,23,140,38,52,69,89,110
male,23,145,39,54,71,91,113
male,23,150,41,55,73,93,115
male,28,40,5,11,19,30,43
male,28,45,7,13,22,34,48
male,28,50,8,16,26,38,52
male,28,55,10,18,29,42,57
male,28,60,12,21,32,46,61
male,28,65,14,23,35,49,65
male,28,70,16,25,38,53,69
male,28,75,17,27,40,56,73
male,28,80,19,30,43,59,76
male,28,85,21,32,46,62,80
male,28,90,23,34,48,65,83
male,28,95,24,36,51,68,86
male,28,100,26,38,53,70,89
male,28,105,28,40,55,73,92
male,28,110,29,42,57,75,95
male,28,115,31,44,60,78,98
male,28,120,32,45,62,80,100
male,28,125,34,47,64,83,103
male,28,130,35,49,66,85,106
male,28,135,37,51,68,87,108
male,28,140,38,52,70,89,111
male,28,145,39,54,71,92,113
male,28,150,41,55,73,94,115
male,33,40,5,11,19,30,43
male,33,45,7,13,22,34,48
male,33,50,8,16,26,38,52
male,33,55,10,18,29,42,57
male,33,60,12,21,32,46,61
male,33,65,14,23,35,49,65
male,33,70,16,25,38,53,69
male,33,75,17,27,40,56,73
male,33,80,19,30,43,59,76
male,33,85,21,32,46,62,80
male,33,90,23,34,48,65,83
male,33,95,24,36,51,68,86
male,33,100,26,38,53,70,89
male,33,105,28,40,55,73,92
male,33,110,29,42,57,75,95
male,33,115,31,44,60,78,98
male,33,120,32,45,62,80,100
