gender,age,bodyweight,beginner,novice,intermediate,advanced,elite
male,18,40,4,7,13,20,28
male,18,45,5,9,15,23,31
male,18,50,6,11,18,25,34
male,18,55,8,13,20,28,37
male,18,60,9,15,22,31,40
male,18,65,10,16,24,33,43
male,18,70,12,18,26,35,46
male,18,75,13,19,28,37,48
male,18,80,14,21,30,40,51
male,18,85,15,23,31,42,53
male,18,90,17,24,33,44,55
male,18,95,18,25,35,46,57
male,18,100,19,27,36,47,59
male,18,105,20,28,38,49,61
male,18,110,21,29,40,51,63
male,18,115,22,31,41,53,65
male,18,120,23,32,42,54,67
male,18,125,25,33,44,56,69
male,18,130,26,35,45,58,71
male,18,135,27,36,47,59,72
male,18,140,28,37,48,61,74
male,18,145,29,38,49,62,76
male,18,150,30,39,51,63,77
male,23,40,4,8,14,21,29
male,23,45,5,10,16,24,33
male,23,50,7,12,19,27,36
male,23,55,8,14,21,30,40
male,23,60,10,15,23,32,43
male,23,65,11,17,25,35,45
male,23,70,12,19,27,37,48
male,23,75,14,21,29,40,51
male,23,80,15,22,31,42,53
male,23,85,16,24,33,44,56
male,23,90,18,25,35,46,58
male,23,95,19,27,37,48,61
male,23,100,20,28,38,50,63
male,23,105,21,30,40,52,65
male,23,110,23,31,42,54,67
male,23,115,24,33,43,56,69
male,23,120,25,34,45,57,71
male,23,125,26,35,46,59,73
male,23,130,27,37,48,61,75
male,23,135,28,38,49,62,76
male,23,140,29,39,51,64,78
male,23,145,30,40,52,66,80
male,23,150,31,41,53,67,82
male,28,40,4,8,14,21,29
male,28,45,5,10,16,24,33
male,28,50,7,12,19,27,36
male,28,55,8,14,21,30,40
male,28,60,10,15,23,32,43
male,28,65,11,17,25,35,46
male,28,70,12,19,27,37,48
male,28,75,14,21,29,40,51
male,28,80,15,22,31,42,54
male,28,85,16,24,33,44,56
male,28,90,18,25,35,46,59
male,28,95,19,27,37,48,61
male,28,100,20,28,39,50,63
male,28,105,21,30,40,52,65
male,28,110,23,31,42,54,67
male,28,115,24,33,44,56,69
male,28,120,25,34,45,58,71
male,28,125,26,35,47,59,73
male,28,130,27,37,48,61,75
male,28,135,28,38,50,63,77
male,28,140,29,39,51,64,79
male,28,145,30,40,52,66,80
male,28,150,31,42,54,67,82
male,33,40,4,8,14,21,29
male,33,45,5,10,16,24,33
male,33,50,7,12,19,27,36
male,33,55,8,14,21,30,40
male,33,60,10,15,23,32,43
male,33,65,11,17,25,35,46
male,33,70,12,19,27,37,48
male,33,75,14,21,29,40,51
male,33,80,15,22,31,42,54
male,33,85,16,24,33,44,56
male,33,90,18,25,35,46,59
male,33,95,19,27,37,48,61
male,33,100,20,28,39,50,63
male,33,105,21,30,40,52,65
male,33,110,23,31,42,54,67
male,33,115,24,33,44,56,69
male,33,120,25,34,45,58,71
male,33,125,26,35,47,59,73
male,33,130,27,37,48,61,75
male,33,135,28,38,50,63,77
male,33,140,29,39,51,64,79
male,33,145,30,40,52,66,80
male,33,150,31,42,54,67,82
male,38,40,4,8,14,21,29
male,38,45,5,10,16,24,33
