gender,age,bodyweight,beginner,novice,intermediate,advanced,elite
male,18,40,19,30,46,65,85
male,18,45,23,37,53,73,96
male,18,50,28,43,61,82,105
male,18,55,33,48,68,90,114
male,18,60,38,54,74,98,123
male,18,65,42,59,81,105,131
male,18,70,47,65,87,112,139
male,18,75,51,70,93,118,146
male,18,80,55,75,98,125,153
male,18,85,60,80,104,131,160
male,18,90,64,84,109,137,167
male,18,95,68,89,114,143,173
male,18,100,72,93,119,149,179
male,18,105,75,98,124,154,185
male,18,110,79,102,129,159,191
male,18,115,83,106,134,164,197
male,18,120,86,110,138,169,202
male,18,125,90,114,142,174,207
male,18,130,93,118,147,179,213
male,18,135,96,121,151,183,218
male,18,140,100,125,155,188,222
male,18,145,103,129,159,192,227
male,18,150,106,132,163,197,232
male,23,40,20,32,49,68,90
male,23,45,25,39,57,78,101
male,23,50,30,45,64,87,111
male,23,55,35,51,71,95,121
male,23,60,40,57,78,103,130
male,23,65,45,63,85,111,138
male,23,70,50,69,92,118,147
male,23,75,54,74,98,125,155
male,23,80,59,79,104,132,162
male,23,85,63,84,110,139,169
male,23,90,67,89,115,145,176
male,23,95,72,94,121,151,183
male,23,100,76,99,126,157,190
male,23,105,80,103,131,163,196
male,23,110,84,108,136,168,202
male,23,115,87,112,141,174,208
male,23,120,91,116,146,179,214
male,23,125,95,120,151,184,219
male,23,130,98,125,155,189,225
male,23,135,102,128,160,194,230
male,23,140,105,132,164,199,235
male,23,145,109,136,168,203,240
male,23,150,112,140,172,208,245
male,28,40,20,32,49,69,91
male,28,45,25,39,57,78,102
male,28,50,30,45,64,87,112
male,28,55,35,51,72,95,121
male,28,60,40,57,79,104,130
male,28,65,45,63,86,111,139
male,28,70,50,69,92,119,147
male,28,75,54,74,98,126,155
male,28,80,59,79,104,133,163
male,28,85,63,85,110,139,170
male,28,90,68,90,116,146,177
male,28,95,72,94,121,152,184
male,28,100,76,99,127,158,190
male,28,105,80,104,132,163,197
male,28,110,84,108,137,169,203
male,28,115,88,113,142,174,209
male,28,120,91,117,147,180,215
male,28,125,95,121,151,185,220
male,28,130,99,125,156,190,226
male,28,135,102,129,160,195,231
male,28,140,106,133,165,200,236
male,28,145,109,137,169,204,241
male,28,150,112,140,173,209,246
male,33,40,20,32,49,69,91
male,33,45,25,39,57,78,102
male,33,50,30,45,64,87,112
male,33,55,35,51,72,95,121
male,33,60,40,57,79,104,130
male,33,65,45,63,86,111,139
male,33,70,50,69,92,119,147
male,33,75,54,74,98,126,155
male,33,80,59,79,104,133,163
male,33,85,63,85,110,139,170
male,33,90,68,90,116,146,177
male,33,95,72,94,121,152,184
male,33,100,76,99,127,158,190
male,33,105,80,104,132,163,197
male,33,110,84,108,137,169,203
male,33,115,88,113,142,174,209
male,33,120,91,117,147,180,215
male,33,125,95,121,151,185,220
male,33,130,99,125,156,190,226
male,33,135,102,129,160,195,231
male,33,140,106,133,165,200,236
male,33,145,109,137,169,204,241
male,33,150,112,140,173,209,246
male,38,40,20,32,49,69,91
male,38,45,25,39,57,78,102
male,38,50,30,45,64,87,112
male,38,55,35,51,72,95,121
male,38,60,40,57,79,104,130
male,38,65,45,63,86,111,139
male,38,70,50,69,92,119,147
male,38,75,54,74,98,126,155
male,38,80,59,79,104,133,163
male,38,85,63,85,110,139,170
male,38,90,68,90,116,146,177
male,38,95,72,94,121,152,184
male,38,100,76,99,127,158,190
male,38,105,80,104,132,163,197
male,38,110,84,108,137,169,203
male,38,115,88,113,142,174,209
male,38,120,91,117,147,180,215
male,38,125,95,121,151,185,220
male,38,130,99,125,156,190,226
male,38,135,102,129,160,195,231
male,38,140,106,133,165,200,236
male,38,145,109,137,169,204,241
male,38,150,112,140,173,209,246
male,43,40,19,31,47,67,88
male,43,45,24,38,55,76,98
male,43,50,29,44,62,84,108
male,43,55,34,50,70,93,118
male,43,60,39,56,76,100,126
male,43,65,44,61,83,108,135
male,43,70,48,67,89,115,143
male,43,75,53,72,95,122,150
male,43,80,57,77,101,129,158
male,43,85,61,82,107,135,165
male,43,90,66,87,112,141,172
male,43,95,70,92,118,147,178
male,43,100,74,96,123,153,185
male,43,105,78,101,128,158,191
male,43,110,81,105,133,164,197
male,43,115,85,109,138,169,202
male,43,120,89,113,142,174,208
male,43,125,92,117,147,179,214
male,43,130,96,121,151,184,219
male,43,135,99,125,155,189,224
male,43,140,103,129,160,194,229
male,43,145,106,132,164,198,234
male,43,150,109,136,168,202,239
male,48,40,18,29,44,63,83
male,48,45,23,35,52,71,92
male,48,50,27,41,59,79,102
male,48,55,32,47,65,87,110
male,48,60,37,52,72,94,119
male,48,65,41,58,78,101,127
male,48,70,45,63,84,108,134
male,48,75,50,68,90,115,141
male,48,80,54,72,95,121,148
male,48,85,58,77,100,127,155
male,48,90,62,82,106,133,161
male,48,95,65,86,111,138,168
male,48,100,69,90,115,144,173
male,48,105,73,94,120,149,179
