gender,age,bodyweight,beginner,novice,intermediate,advanced,elite
male,18,40,3,6,10,16,23
male,18,45,4,7,12,18,26
male,18,50,5,8,14,20,28
male,18,55,6,10,15,22,30
male,18,60,6,11,17,24,32
male,18,65,7,12,18,26,34
male,18,70,8,13,20,28,36
male,18,75,9,14,21,29,38
male,18,80,10,16,23,31,40
male,18,85,11,17,24,32,42
male,18,90,12,18,25,34,43
male,18,95,13,19,26,35,45
male,18,100,13,20,27,37,46
male,18,105,14,21,29,38,48
male,18,110,15,21,30,39,49
male,18,115,16,22,31,40,51
male,18,120,16,23,32,41,52
male,18,125,17,24,33,43,53
male,18,130,18,25,34,44,55
male,18,135,19,26,35,45,56
male,18,140,19,27,36,46,57
male,18,145,20,27,37,47,58
male,18,150,21,28,37,48,59
male,23,40,3,6,11,17,24
male,23,45,4,8,13,20,27
male,23,50,5,9,15,22,30
male,23,55,6,10,16,24,32
male,23,60,7,12,18,26,34
male,23,65,8,13,19,28,36
male,23,70,9,14,21,29,39
male,23,75,10,15,22,31,40
male,23,80,11,16,24,33,42
male,23,85,12,18,25,34,44
male,23,90,12,19,26,36,46
male,23,95,13,20,28,37,48
male,23,100,14,21,29,39,49
male,23,105,15,22,30,40,51
male,23,110,16,23,31,41,52
male,23,115,17,24,32,43,54
male,23,120,17,25,34,44,55
male,23,125,18,26,35,45,56
male,23,130,19,26,36,46,58
male,23,135,20,27,37,47,59
male,23,140,20,28,38,49,60
male,23,145,21,29,39,50,62
male,23,150,22,30,40,51,63
male,28,40,3,6,11,17,25
male,28,45,4,8,13,20,27
male,28,50,5,9,15,22,30
male,28,55,6,10,16,24,32
male,28,60,7,12,18,26,34
male,28,65,8,13,20,28,37
male,28,70,9,14,21,29,39
male,28,75,10,15,23,31,41
male,28,80,11,16,24,33,42
male,28,85,12,18,25,34,44
male,28,90,12,19,27,36,46
male,28,95,13,20,28,37,48
male,28,100,14,21,29,39,49
male,28,105,15,22,30,40,51
male,28,110,16,23,31,41,52
male,28,115,17,24,33,43,54
male,28,120,17,25,34,44,55
male,28,125,18,26,35,45,57
male,28,130,19,27,36,46,58
male,28,135,20,27,37,48,59
male,28,140,20,28,38,49,61
male,28,145,21,29,39,50,62
male,28,150,22,30,40,51,63
male,33,40,3,6,11,17,25
male,33,45,4,8,13,20,27
male,33,50,5,9,15,22,30
male,33,55,6,10,16,24,32
male,33,60,7,12,18,26,34
male,33,65,8,13,20,28,37
male,33,70,9,14,21,29,39
male,33,75,10,15,23,31,41
male,33,80,11,16,24,33,42
male,33,85,12,18,25,34,44
male,33,90,12,19,27,36,46
male,33,95,13,20,28,37,48
male,33,100,14,21,29,39,49
male,33,105,15,22,30,40,51
male,33,110,16,23,31,41,52
male,33,115,17,24,33,43,54
male,33,120,17,25,34,44,55
male,33,125,18,26,35,45,57
male,33,130,19,27,36,46,58
male,33,135,20,27,37,48,59
male,33,140,20,28,38,49,61
male,33,145,21,29,39,50,62
male,33,150,22,30,40,51,63
