gender,age,bodyweight,beginner,novice,intermediate,advanced,elite
male,18,40,39,58,82,111,142
male,18,45,46,67,93,124,157
male,18,50,54,76,104,136,170
male,18,55,61,84,113,147,183
male,18,60,68,93,123,157,194
male,18,65,74,100,132,168,206
male,18,70,81,108,140,177,216
male,18,75,87,115,149,186,227
male,18,80,93,122,157,195,236
male,18,85,99,129,164,204,246
male,18,90,105,135,172,212,255
male,18,95,110,142,179,220,263
male,18,100,116,148,185,228,272
male,18,105,121,154,192,235,280
male,18,110,126,159,199,242,287
male,18,115,131,165,205,249,295
male,18,120,136,171,211,256,302
male,18,125,141,176,217,262,309
male,18,130,145,181,223,268,316
male,18,135,150,186,228,275,323
male,18,140,154,191,234,281,329
male,18,145,159,196,239,287,336
male,18,150,163,201,244,292,342
male,23,40,41,61,87,117,151
male,23,45,49,71,99,131,166
male,23,50,57,80,110,143,180
male,23,55,64,89,120,155,193
male,23,60,72,98,130,167,206
male,23,65,79,106,139,177,218
male,23,70,85,114,149,187,229
male,23,75,92,122,157,197,240
male,23,80,99,129,166,207,250
male,23,85,105,136,174,216,260
male,23,90,111,143,181,224,269
male,23,95,117,150,189,233,278
male,23,100,122,156,196,241,287
male,23,105,128,163,203,248,296
male,23,110,133,169,210,256,304
male,23,115,139,175,217,263,312
male,23,120,144,180,223,270,320
male,23,125,149,186,229,277,327
male,23,130,154,192,236,284,334
male,23,135,159,197,241,291,342
male,23,140,163,202,247,297,348
male,23,145,168,207,253,303,355
male,23,150,173,212,258,309,362
male,28,40,41,61,87,118,151
male,28,45,49,71,99,131,166
male,28,50,57,81,110,144,181
male,28,55,64,90,120,156,194
male,28,60,72,98,130,167,206
male,28,65,79,107,140,178,218
male,28,70,86,115,149,188,230
male,28,75,92,122,158,198,241
male,28,80,99,130,166,207,251
male,28,85,105,137,174,216,261
male,28,90,111,144,182,225,270
male,28,95,117,150,190,233,280
male,28,100,123,157,197,242,288
male,28,105,128,163,204,249,297
male,28,110,134,169,211,257,305
male,28,115,139,175,218,264,313
male,28,120,144,181,224,271,321
male,28,125,150,187,230,278,328
male,28,130,154,192,236,285,336
male,28,135,159,198,242,292,343
male,28,140,164,203,248,298,350
male,28,145,169,208,254,304,357
male,28,150,173,213,259,310,363
male,33,40,41,61,87,118,151
male,33,45,49,71,99,131,166
male,33,50,57,81,110,144,181
male,33,55,64,90,120,156,194
