gender,age,bodyweight,beginner,novice,intermediate,advanced,elite
male,18,40,9,27,57,98,146
male,18,45,14,35,69,112,165
male,18,50,19,44,80,127,182
male,18,55,25,52,91,140,198
male,18,60,30,60,101,153,213
male,18,65,36,68,111,166,228
male,18,70,42,75,121,178,242
male,18,75,48,83,131,190,256
male,18,80,53,91,140,201,269
male,18,85,59,98,149,212,281
male,18,90,64,105,158,222,293
male,18,95,70,112,167,232,305
male,18,100,75,119,175,242,316
male,18,105,81,125,183,251,327
male,18,110,86,132,191,261,337
male,18,115,91,138,199,270,347
male,18,120,96,145,206,278,357
male,18,125,101,151,213,287,367
male,18,130,106,157,221,295,376
male,18,135,111,163,228,303,386
male,18,140,116,169,234,311,394
male,18,145,121,174,241,319,403
male,18,150,125,180,248,326,412
male,23,40,10,29,60,103,155
male,23,45,15,37,72,119,174
male,23,50,20,46,84,134,192
male,23,55,26,55,96,148,209
male,23,60,32,63,107,162,226
male,23,65,38,72,118,176,241
male,23,70,44,80,128,188,256
male,23,75,50,88,138,201,270
male,23,80,56,96,148,212,284
male,23,85,62,103,158,224,297
male,23,90,68,111,167,235,310
male,23,95,74,118,176,246,322
male,23,100,80,126,185,256,334
male,23,105,85,133,194,266,346
male,23,110,91,140,202,276,357
male,23,115,96,146,210,285,368
male,23,120,102,153,218,294,378
male,23,125,107,160,226,303,388
male,23,130,112,166,233,312,398
male,23,135,117,172,241,321,408
male,23,140,122,178,248,329,417
male,23,145,127,184,255,337,426
male,23,150,132,190,262,345,435
male,28,40,10,29,60,104,155
male,28,45,15,38,73,119,175
male,28,50,20,46,85,135,193
male,28,55,26,55,96,149,210
male,28,60,32,63,107,163,227
male,28,65,38,72,118,176,242
male,28,70,44,80,129,189,257
male,28,75,50,88,139,201,272
male,28,80,56,96,149,213,285
male,28,85,62,104,158,225,298
male,28,90,68,111,168,236,311
male,28,95,74,119,177,246,324
male,28,100,80,126,186,257,335
male,28,105,86,133,194,267,347
male,28,110,91,140,203,277,358
male,28,115,97,147,211,286,369
male,28,120,102,154,219,295,379
male,28,125,107,160,227,305,390
male,28,130,113,167,234,313,400
male,28,135,118,173,242,322,409
male,28,140,123,179,249,330,419
male,28,145,128,185,256,338,428
male,28,150,133,191,263,347,437
male,33,40,10,29,60,104,155
male,33,45,15,38,73,119,175
male,33,50,20,46,85,135,193
male,33,55,26,55,96,149,210
male,33,60,32,63,107,163,227
male,33,65,38,72,118,176,242
male,33,70,44,80,129,189,257
male,33,75,50,88,139,201,272
male,33,80,56,96,149,213,285
male,33,85,62,104,158,225,298
male,33,90,68,111,168,236,311
male,33,95,74,119,177,246,324
male,33,100,80,126,186,257,335
male,33,105,86,133,194,267,347
male,33,110,91,140,203,277,358
male,33,115,97,147,211,286,369
male,33,120,102,154,219,295,379
male,33,125,107,160,227,305,390
male,33,130,113,167,234,313,400
male,33,135,118,173,242,322,409
male,33,140,123,179,249,330,419
male,33,145,128,185,256,338,428
male,33,150,133,191,263,347,437
male,38,40,10,29,60,104,155
male,38,45,15,38,73,119,175
male,38,50,20,46,85,135,193
male,38,55,26,55,96,149,210
male,38,60,32,63,107,163,227
male,38,65,38,72,118,176,242
male,38,70,44,80,129,189,257
male,38,75,50,88,139,201,272
male,38,80,56,96,149,213,285
male,38,85,62,104,158,225,298
male,38,90,68,111,168,236,311
male,38,95,74,119,177,246,324
male,38,100,80,126,186,257,335
male,38,105,86,133,194,267,347
male,38,110,91,140,203,277,358
male,38,115,97,147,211,286,369
male,38,120,102,154,219,295,379
male,38,125,107,160,227,305,390
male,38,130,113,167,234,313,400
male,38,135,118,173,242,322,409
male,38,140,123,179,249,330,419
male,38,145,128,185,256,338,428
male,38,150,133,191,263,347,437
male,43,40,9,28,59,100,151
male,43,45,14,36,71,116,169
male,43,50,20,45,82,130,187
male,43,55,25,53,93,145,204
male,43,60,31,62,104,158,220
male,43,65,37,70,115,171,235
male,43,70,43,78,125,183,249
male,43,75,49,86,135,195,263
male,43,80,55,93,144,207,277
male,43,85,61,101,154,218,289
male,43,90,66,108,163,229,302
male,43,95,72,115,171,239,314
male,43,100,77,122,180,249,325
male,43,105,83,129,188,259,336
male,43,110,88,136,196,268,347
male,43,115,94,142,204,278,358
male,43,120,99,149,212,286,368
male,43,125,104,155,220,295,378
male,43,130,109,161,227,304,387
male,43,135,114,168,234,312,397
male,43,140,119,173,241,320,406
male,43,145,124,179,248,328,415
male,43,150,129,185,255,336,424
male,48,40,9,26,55,94,142
male,48,45,13,34,66,109,159
male,48,50,19,42,77,123,176
male,48,55,24,50,88,136,191
male,48,60,29,58,98,148,206
male,48,65,35,65,108,161,221
male,48,70,40,73,117,172,234
male,48,75,46,80,127,183,247
male,48,80,51,88,136,194,260
male,48,85,57,95,144,205,272
male,48,90,62,102,153,215,284
male,48,95,68,108,161,225,295
male,48,100,73,115,169,234,306
male,48,105,78,121,177,243,316
male,48,110,83,128,185,252,326
male,48,115,88,134,192,261,336
male,48,120,93,140,199,269,346
male,48,125,98,146,206,277,355
male,48,130,103,152,213,285,364
male,48,135,107,157,220,293,373
male,48,140,112,163,227,301,382
male,48,145,117,169,233,308,390
male,48,150,121,174,240,316,398
male,53,40,8,24,51,87,131
male,53,45,12,32,61,101,148
male,53,50,17,39,72,114,163
male,53,55,22,46,81,126,178
male,53,60,27,54,91,138,191
male,53,65,32,61,100,149,205
male,53,70,38,68,109,160,217
male,53,75,43,75,117,170,229
male,53,80,48,81,126,180,241
male,53,85,53,88,134,190,252
male,53,90,58,94,142,199,263
male,53,95,63,100,149,208,273
male,53,100,68,107,157,217,283
male,53,105,72,113,164,226,293
male,53,110,77,118,171,234,303
male,53,115,82,124,178,242,312
male,53,120,86,130,185,250,321
male,53,125,91,135,191,257,329
male,53,130,95,141,198,265,338
male,53,135,100,146,204,272,346
male,53,140,104,151,210,279,354
male,53,145,108,156,216,286,362
male,53,150,112,161,222,293,369
male,58,40,7,22,47,80,120
male,58,45,11,29,56,92,135
male,58,50,16,36,66,104,149
male,58,55,20,43,75,115,163
male,58,60,25,49,83,126,176
male,58,65,30,56,92,137,188
male,58,70,34,62,100,146,199
male,58,75,39,68,108,156,210
male,58,80,44,74,115,165,221
male,58,85,48,80,123,174,231
male,58,90,53,86,130,183,241
male,58,95,57,92,137,191,251
male,58,100,62,98,144,199,260
male,58,105,66,103,151,207,269
male,58,110,71,109,157,214,277
male,58,115,75,114,163,222,286
male,58,120,79,119,169,229,294
male,58,125,83,124,176,236,302
male,58,130,87,129,181,243,310
male,58,135,91,134,187,249,317
male,58,140,95,139,193,256,324
male,58,145,99,143,198,262,332
male,58,150,103,148,204,268,339
male,63,40,7,20,43,73,109
male,63,45,10,26,51,84,123
male,63,50,14,33,60,95,136
male,63,55,18,39,68,105,148
male,63,60,23,45,76,115,159
male,63,65,27,51,83,124,170
male,63,70,31,56,91,133,181
male,63,75,35,62,98,142,191
male,63,80,40,68,105,150,201
male,63,85,44,73,111,158,210
male,63,90,48,78,118,166,219
male,63,95,52,84,124,173,228
male,63,100,56,89,131,181,236
male,63,105,60,94,137,188,244
male,63,110,64,99,143,195,252
male,63,115,68,103,148,201,260
male,63,120,72,108,154,208,267
male,63,125,76,113,159,214,274
male,63,130,79,117,165,220,281
male,63,135,83,122,170,226,288
male,63,140,86,126,175,232,295
male,63,145,90,130,180,238,301
male,63,150,93,134,185,244,307
female,18,40,23,46,78,118,164
female,18,45,26,50,82,123,170
female,18,50,29,53,87,129,177
female,18,55,31,56,91,134,182
female,18,60,33,59,95,138,188
female,18,65,35,62,98,142,192
female,18,70,37,65,101,146,197
female,18,75,39,67,104,150,201
female,18,80,41,69,107,154,206
female,23,40,25,49,82,124,173
female,23,45,28,53,87,131,180
female,23,50,30,56,92,136,187
female,23,55,33,59,96,141,193
female,23,60,35,63,100,146,198
female,23,65,37,65,104,151,204
female,23,70,39,68,107,155,208
female,23,75,41,71,110,159,213
female,23,80,43,73,114,163,217
female,28,40,25,49,83,125,174
female,28,45,28,53,88,131,181
female,28,50,30,56,92,137,187
female,28,55,33,60,96,142,194
female,28,60,35,63,100,147,199
female,28,65,37,66,104,151,204
female,28,70,39,69,108,155,209
female,28,75,41,71,111,159,214
female,28,80,43,74,114,163,218
female,33,40,25,49,83,125,174
female,33,45,28,53,88,131,181
female,33,50,30,56,92,137,187
female,33,55,33,60,96,142,194
female,33,60,35,63,100,147,199
female,33,65,37,66,104,151,204
female,33,70,39,69,108,155,209
female,33,75,41,71,111,159,214
female,33,80,43,74,114,163,218
female,38,40,25,49,83,125,174
female,38,45,28,53,88,131,181
female,38,50,30,56,92,137,187
female,38,55,33,60,96,142,194
female,38,60,35,63,100,147,199
female,38,65,37,66,104,151,204
female,38,70,39,69,108,155,209
female,38,75,41,71,111,159,214
female,38,80,43,74,114,163,218
female,43,40,24,47,80,121,168
female,43,45,27,51,85,127,175
female,43,50,29,55,89,133,182
female,43,55,32,58,93,138,188
female,43,60,34,61,97,142,193
female,43,65,36,64,101,147,198
female,43,70,38,66,104,151,203
female,43,75,40,69,108,155,207
female,43,80,42,71,111,158,212
female,48,40,23,45,75,114,158
female,48,45,25,48,80,119,165
female,48,50,28,51,84,125,171
female,48,55,30,54,88,129,176
female,48,60,32,57,91,134,181
female,48,65,34,60,95,138,186
female,48,70,36,62,98,142,191
female,48,75,38,65,101,145,195
female,48,80,40,67,104,149,199
female,53,40,21,41,70,106,147
female,53,45,23,45,74,111,153
female,53,50,26,48,78,116,158
female,53,55,28,50,81,120,164
female,53,60,30,53,85,124,168
female,53,65,32,56,88,128,173
female,53,70,33,58,91,131,177
female,53,75,35,60,94,135,181
female,53,80,37,62,96,138,184
female,58,40,19,38,64,97,135
female,58,45,21,41,68,102,140
female,58,50,23,44,71,106,145
female,58,55,25,46,75,110,150
female,58,60,27,49,78,114,154
female,58,65,29,51,81,117,158
female,58,70,31,53,83,120,162
female,58,75,32,55,86,123,166
female,58,80,34,57,88,126,169
female,63,40,18,34,58,88,122
female,63,45,19,37,62,92,127
female,63,50,21,40,65,96,132
female,63,55,23,42,68,100,136
female,63,60,25,44,71,103,140
female,63,65,26,46,73,106,144
female,63,70,28,48,76,109,147
female,63,75,29,50,78,112,150
female,63,80,31,52,80,115,154
