gender,age,bodyweight,beginner,novice,intermediate,advanced,elite
male,18,40,26,53,90,137,192
male,18,45,32,61,101,151,208
male,18,50,38,69,112,164,223
male,18,55,44,77,122,176,237
male,18,60,50,85,131,187,250
male,18,65,56,92,140,198,262
male,18,70,61,99,149,208,274
male,18,75,67,106,157,218,285
male,18,80,72,113,165,227,296
male,18,85,77,119,172,236,306
male,18,90,82,125,180,245,316
male,18,95,87,131,187,253,325
male,18,100,91,137,194,261,334
male,18,105,96,142,200,269,343
male,18,110,100,148,207,276,351
male,18,115,105,153,213,283,360
male,18,120,109,158,219,290,367
male,18,125,113,163,225,297,375
male,18,130,117,168,231,304,382
male,18,135,121,173,236,310,390
male,18,140,125,177,242,316,397
male,18,145,129,182,247,322,403
male,18,150,133,186,252,328,410
male,23,40,28,56,95,145,203
male,23,45,34,65,107,160,220
male,23,50,41,73,118,173,236
male,23,55,47,82,129,186,250
male,23,60,53,90,139,198,264
male,23,65,59,98,148,209,277
male,23,70,65,105,157,220,290
male,23,75,71,112,166,230,302
male,23,80,76,119,174,240,313
male,23,85,81,126,182,250,324
male,23,90,87,132,190,259,334
male,23,95,92,138,198,268,344
male,23,100,97,145,205,276,354
male,23,105,101,150,212,284,363
male,23,110,106,156,219,292,372
male,23,115,111,162,225,300,380
male,23,120,115,167,232,307,389
male,23,125,120,172,238,314,397
male,23,130,124,178,244,321,404
male,23,135,128,183,250,328,412
male,23,140,132,188,256,335,419
male,23,145,136,192,261,341,427
male,23,150,140,197,267,347,434
male,28,40,28,56,95,146,203
male,28,45,34,65,107,160,221
male,28,50,41,74,118,174,237
male,28,55,47,82,129,187,251
male,28,60,53,90,139,199,265
male,28,65,59,98,149,210,279
male,28,70,65,105,158,221,291
male,28,75,71,113,167,231,303
male,28,80,76,119,175,241,314
male,28,85,82,126,183,251,325
male,28,90,87,133,191,260,335
male,28,95,92,139,198,269,345
male,28,100,97,145,206,277,355
male,28,105,102,151,213,285,364
male,28,110,107,157,220,293,373
male,28,115,111,162,226,301,382
male,28,120,116,168,233,308,390
male,28,125,120,173,239,315,398
male,28,130,125,178,245,322,406
male,28,135,129,183,251,329,414
male,28,140,133,188,257,336,421
male,28,145,137,193,262,342,428
male,28,150,141,198,268,349,435
male,33,40,28,56,95,146,203
male,33,45,34,65,107,160,221
male,33,50,41,74,118,174,237
male,33,55,47,82,129,187,251
male,33,60,53,90,139,199,265
male,33,65,59,98,149,210,279
male,33,70,65,105,158,221,291
male,33,75,71,113,167,231,303
male,33,80,76,119,175,241,314
male,33,85,82,126,183,251,325
male,33,90,87,133,191,260,335
male,33,95,92,139,198,269,345
male,33,100,97,145,206,277,355
male,33,105,102,151,213,285,364
male,33,110,107,157,220,293,373
male,33,115,111,162,226,301,382
male,33,120,116,168,233,308,390
male,33,125,120,173,239,315,398
male,33,130,125,178,245,322,406
male,33,135,129,183,251,329,414
male,33,140,133,188,257,336,421
male,33,145,137,193,262,342,428
male,33,150,141,198,268,349,435
male,38,40,28,56,95,146,203
male,38,45,34,65,107,160,221
male,38,50,41,74,118,174,237
male,38,55,47,82,129,187,251
male,38,60,53,90,139,199,265
male,38,65,59,98,149,210,279
male,38,70,65,105,158,221,291
male,38,75,71,113,167,231,303
male,38,80,76,119,175,241,314
male,38,85,82,126,183,251,325
male,38,90,87,133,191,260,335
male,38,95,92,139,198,269,345
male,38,100,97,145,206,277,355
male,38,105,102,151,213,285,364
male,38,110,107,157,220,293,373
male,38,115,111,162,226,301,382
male,38,120,116,168,233,308,390
male,38,125,120,173,239,315,398
male,38,130,125,178,245,322,406
male,38,135,129,183,251,329,414
male,38,140,133,188,257,336,421
male,38,145,137,193,262,342,428
male,38,150,141,198,268,349,435
male,43,40,27,54,93,141,197
male,43,45,33,63,104,155,214
male,43,50,40,71,115,169,229
male,43,55,46,80,125,181,244
male,43,60,52,87,135,193,257
male,43,65,57,95,144,204,270
male,43,70,63,102,153,214,282
male,43,75,69,109,162,224,294
male,43,80,74,116,170,234,305
male,43,85,79,122,178,243,315
male,43,90,84,129,185,252,325
male,43,95,89,135,192,260,335
male,43,100,94,141,199,269,344
male,43,105,99,146,206,277,353
male,43,110,103,152,213,284,362
male,43,115,108,157,219,292,370
male,43,120,112,163,226,299,378
male,43,125,117,168,232,306,386
male,43,130,121,173,238,313,394
male,43,135,125,178,243,319,401
male,43,140,129,183,249,326,408
male,43,145,133,187,254,332,415
male,43,150,137,192,260,338,422
male,48,40,25,51,87,133,185
male,48,45,31,59,98,146,201
male,48,50,37,67,108,158,215
male,48,55,43,75,118,170,229
male,48,60,49,82,127,181,242
male,48,65,54,89,135,191,254
male,48,70,59,96,144,201,265
male,48,75,64,103,152,211,276
male,48,80,70,109,159,220,286
male,48,85,74,115,167,228,296
male,48,90,79,121,174,237,306
male,48,95,84,127,181,245,315
male,48,100,88,132,187,252,323
male,48,105,93,138,194,260,332
male,48,110,97,143,200,267,340
male,48,115,101,148,206,274,348
male,48,120,105,153,212,281,355
male,48,125,110,158,218,287,363
male,48,130,113,162,223,294,370
male,48,135,117,167,229,300,377
male,48,140,121,172,234,306,384
male,48,145,125,176,239,312,390
male,48,150,128,180,244,318,397
male,53,40,24,47,81,123,172
male,53,45,29,55,91,135,186
male,53,50,34,62,100,147,200
male,53,55,40,69,109,158,212
male,53,60,45,76,118,168,224
male,53,65,50,83,126,178,235
male,53,70,55,89,133,187,246
male,53,75,60,95,141,195,256
male,53,80,64,101,148,204,265
male,53,85,69,107,155,212,275
male,53,90,73,112,161,220,283
male,53,95,78,117,168,227,292
male,53,100,82,123,174,234,300
male,53,105,86,128,180,241,308
male,53,110,90,132,186,248,315
male,53,115,94,137,191,254,323
male,53,120,98,142,197,260,330
male,53,125,102,146,202,266,336
male,53,130,105,151,207,272,343
male,53,135,109,155,212,278,350
male,53,140,112,159,217,284,356
male,53,145,116,163,222,289,362
male,53,150,119,167,226,294,368
male,58,40,22,43,74,113,158
male,58,45,27,50,83,124,171
male,58,50,32,57,92,135,183
male,58,55,37,64,100,145,195
male,58,60,41,70,108,154,206
male,58,65,46,76,115,163,216
male,58,70,50,82,122,171,225
male,58,75,55,87,129,179,235
male,58,80,59,93,136,187,243
male,58,85,63,98,142,194,252
male,58,90,67,103,148,201,260
male,58,95,71,108,154,208,268
male,58,100,75,112,159,215,275
male,58,105,79,117,165,221,282
male,58,110,83,121,170,227,289
male,58,115,86,126,175,233,296
male,58,120,90,130,180,239,302
male,58,125,93,134,185,244,308
male,58,130,96,138,190,250,315
male,58,135,100,142,194,255,320
male,58,140,103,146,199,260,326
male,58,145,106,150,203,265,332
male,58,150,109,153,208,270,337
male,63,40,20,39,67,102,143
male,63,45,24,46,75,113,155
male,63,50,29,52,83,122,166
male,63,55,33,58,91,131,177
male,63,60,37,63,98,140,187
male,63,65,42,69,105,148,196
male,63,70,46,74,111,155,205
male,63,75,50,79,117,163,213
male,63,80,54,84,123,170,221
male,63,85,57,89,129,176,229
male,63,90,61,93,134,183,236
male,63,95,65,98,140,189,243
male,63,100,68,102,145,195,250
male,63,105,72,106,150,201,256
male,63,110,75,110,155,206,262
male,63,115,78,114,159,212,269
male,63,120,81,118,164,217,274
male,63,125,85,122,168,222,280
male,63,130,88,125,172,227,286
male,63,135,91,129,177,232,291
male,63,140,94,133,181,236,296
male,63,145,96,136,185,241,301
male,63,150,99,139,188,245,306
female,18,40,26,50,83,124,170
female,18,45,29,54,88,130,178
female,18,50,32,58,93,136,185
female,18,55,35,61,97,141,191
female,18,60,37,64,101,146,197
female,18,65,40,68,105,151,202
female,18,70,42,71,109,155,207
female,18,75,44,73,112,159,212
female,18,80,46,76,116,163,217
female,23,40,28,53,87,131,180
female,23,45,31,57,93,137,188
female,23,50,34,61,98,144,195
female,23,55,37,65,103,149,202
female,23,60,39,68,107,155,208
female,23,65,42,71,111,160,214
female,23,70,44,75,115,164,219
female,23,75,46,78,119,169,224
female,23,80,49,80,122,173,229
female,28,40,28,53,88,131,181
female,28,45,31,57,93,138,189
female,28,50,34,61,98,144,196
female,28,55,37,65,103,150,203
female,28,60,39,68,107,155,209
female,28,65,42,72,112,160,215
female,28,70,44,75,115,165,220
female,28,75,47,78,119,169,225
female,28,80,49,81,123,173,230
female,33,40,28,53,88,131,181
female,33,45,31,57,93,138,189
female,33,50,34,61,98,144,196
female,33,55,37,65,103,150,203
female,33,60,39,68,107,155,209
female,33,65,42,72,112,160,215
female,33,70,44,75,115,165,220
female,33,75,47,78,119,169,225
female,33,80,49,81,123,173,230
female,38,40,28,53,88,131,181
female,38,45,31,57,93,138,189
female,38,50,34,61,98,144,196
female,38,55,37,65,103,150,203
female,38,60,39,68,107,155,209
female,38,65,42,72,112,160,215
female,38,70,44,75,115,165,220
female,38,75,47,78,119,169,225
female,38,80,49,81,123,173,230
female,43,40,27,51,85,127,175
female,43,45,30,55,90,134,183
female,43,50,33,59,95,140,190
female,43,55,36,63,100,145,197
female,43,60,38,66,104,150,203
female,43,65,41,70,108,155,208
female,43,70,43,73,112,160,213
female,43,75,45,76,116,164,218
female,43,80,47,78,119,168,223
female,48,40,25,48,80,120,165
female,48,45,28,52,85,126,172
female,48,50,31,56,90,131,179
female,48,55,33,59,94,137,185
female,48,60,36,62,98,141,190
female,48,65,38,65,102,146,196
female,48,70,40,68,105,150,200
female,48,75,42,71,109,154,205
female,48,80,44,74,112,158,209
female,53,40,24,45,74,111,153
female,53,45,26,48,79,117,160
female,53,50,29,52,83,122,166
female,53,55,31,55,87,127,171
female,53,60,33,58,91,131,176
female,53,65,35,61,94,135,181
