gender,age,bodyweight,beginner,novice,intermediate,advanced,elite
male,18,40,12,21,33,47,63
male,18,45,17,27,39,55,72
male,18,50,21,32,46,62,81
male,18,55,25,37,52,70,89
male,18,60,30,43,59,77,97
male,18,65,34,48,65,84,105
male,18,70,38,53,70,90,112
male,18,75,43,58,76,97,119
male,18,80,47,63,82,103,126
male,18,85,51,67,87,109,133
male,18,90,55,72,92,115,139
male,18,95,59,76,97,120,145
male,18,100,62,81,102,126,151
male,18,105,66,85,107,131,157
male,18,110,70,89,111,136,162
male,18,115,74,93,116,141,168
male,18,120,77,97,120,146,173
male,18,125,81,101,125,151,178
male,18,130,84,105,129,156,183
male,18,135,87,108,133,160,188
male,18,140,91,112,137,165,193
male,18,145,94,116,141,169,198
male,18,150,97,119,145,173,202
male,23,40,13,22,35,49,66
male,23,45,18,28,42,58,76
male,23,50,22,34,49,66,85
male,23,55,27,40,55,74,94
male,23,60,32,45,62,81,103
male,23,65,36,51,68,89,111
male,23,70,41,56,74,96,118
male,23,75,45,61,80,102,126
male,23,80,49,66,86,109,133
male,23,85,54,71,92,115,140
male,23,90,58,76,97,121,147
male,23,95,62,81,103,127,153
male,23,100,66,85,108,133,160
male,23,105,70,90,113,139,166
male,23,110,74,94,118,144,172
male,23,115,78,98,123,149,178
male,23,120,81,103,127,155,183
male,23,125,85,107,132,160,189
male,23,130,89,111,136,165,194
male,23,135,92,115,141,169,199
male,23,140,96,119,145,174,204
male,23,145,99,122,149,179,209
male,23,150,103,126,153,183,214
male,28,40,13,22,35,50,66
male,28,45,18,28,42,58,76
male,28,50,22,34,49,66,86
male,28,55,27,40,56,74,94
male,28,60,32,45,62,82,103
male,28,65,36,51,69,89,111
male,28,70,41,56,75,96,119
male,28,75,45,61,81,103,126
male,28,80,50,66,87,109,134
male,28,85,54,71,92,116,141
male,28,90,58,76,98,122,147
male,28,95,62,81,103,128,154
male,28,100,66,86,108,134,160
male,28,105,70,90,113,139,166
male,28,110,74,94,118,145,172
male,28,115,78,99,123,150,178
male,28,120,82,103,128,155,184
male,28,125,85,107,132,160,189
male,28,130,89,111,137,165,195
male,28,135,93,115,141,170,200
male,28,140,96,119,145,175,205
male,28,145,100,123,150,179,210
male,28,150,103,126,154,184,215
male,33,40,13,22,35,50,66
male,33,45,18,28,42,58,76
male,33,50,22,34,49,66,86
male,33,55,27,40,56,74,94
male,33,60,32,45,62,82,103
male,33,65,36,51,69,89,111
male,33,70,41,56,75,96,119
male,33,75,45,61,81,103,126
male,33,80,50,66,87,109,134
male,33,85,54,71,92,116,141
male,33,90,58,76,98,122,147
male,33,95,62,81,103,128,154
male,33,100,66,86,108,134,160
male,33,105,70,90,113,139,166
male,33,110,74,94,118,145,172
male,33,115,78,99,123,150,178
male,33,120,82,103,128,155,184
male,33,125,85,107,132,160,189
male,33,130,89,111,137,165,195
male,33,135,93,115,141,170,200
male,33,140,96,119,145,175,205
male,33,145,100,123,150,179,210
male,33,150,103,126,154,184,215
male,38,40,13,22,35,50,66
male,38,45,18,28,42,58,76
male,38,50,22,34,49,66,86
male,38,55,27,40,56,74,94
male,38,60,32,45,62,82,103
male,38,65,36,51,69,89,111
male,38,70,41,56,75,96,119
male,38,75,45,61,81,103,126
male,38,80,50,66,87,109,134
male,38,85,54,71,92,116,141
male,38,90,58,76,98,122,147
male,38,95,62,81,103,128,154
male,38,100,66,86,108,134,160
male,38,105,70,90,113,139,166
male,38,110,74,94,118,145,172
male,38,115,78,99,123,150,178
male,38,120,82,103,128,155,184
male,38,125,85,107,132,160,189
male,38,130,89,111,137,165,195
male,38,135,93,115,141,170,200
male,38,140,96,119,145,175,205
male,38,145,100,123,150,179,210
male,38,150,103,126,154,184,215
male,43,40,13,22,34,48,64
male,43,45,17,27,41,56,74
male,43,50,22,33,47,64,83
male,43,55,26,39,54,72,92
male,43,60,31,44,60,79,100
male,43,65,35,49,66,86,108
male,43,70,40,54,72,93,115
male,43,75,44,59,78,100,123
male,43,80,48,64,84,106,130
male,43,85,52,69,89,112,136
male,43,90,56,74,95,118,143
male,43,95,60,78,100,124,149
male,43,100,64,83,105,130,155
male,43,105,68,87,110,135,161
male,43,110,72,92,115,140,167
male,43,115,76,96,119,145,173
male,43,120,79,100,124,150,178
male,43,125,83,104,128,155,184
male,43,130,86,108,133,160,189
male,43,135,90,112,137,165,194
male,43,140,93,115,141,169,199
male,43,145,97,119,145,174,204
male,43,150,100,123,149,178,208
male,48,40,12,20,32,45,60
male,48,45,16,26,38,53,69
male,48,50,20,31,44,60,78
male,48,55,25,36,51,68,86
male,48,60,29,41,57,74,94
male,48,65,33,46,62,81,101
male,48,70,37,51,68,88,108
male,48,75,41,56,74,94,115
male,48,80,45,61,79,100,122
male,48,85,49,65,84,105,128
male,48,90,53,69,89,111,134
male,48,95,57,74,94,116,140
male,48,100,60,78,99,122,146
male,48,105,64,82,103,127,152
male,48,110,68,86,108,132,157
male,48,115,71,90,112,137,162
male,48,120,75,94,116,141,168
male,48,125,78,98,121,146,173
male,48,130,81,101,125,150,177
male,48,135,84,105,129,155,182
male,48,140,88,108,133,159,187
male,48,145,91,112,136,163,191
male,48,150,94,115,140,167,196
male,53,40,11,19,29,42,56
male,53,45,15,24,35,49,64
male,53,50,19,29,41,56,72
male,53,55,23,34,47,63,80
male,53,60,27,38,53,69,87
male,53,65,31,43,58,75,94
male,53,70,34,47,63,81,100
male,53,75,38,52,68,87,107
male,53,80,42,56,73,92,113
male,53,85,46,60,78,98,119
male,53,90,49,64,83,103,125
male,53,95,53,68,87,108,130
male,53,100,56,72,91,113,135
male,53,105,59,76,96,118,141
male,53,110,63,80,100,122,146
male,53,115,66,83,104,127,151
male,53,120,69,87,108,131,155
male,53,125,72,90,112,135,160
male,53,130,75,94,116,140,165
male,53,135,78,97,119,144,169
male,53,140,81,101,123,148,173
male,53,145,84,104,126,152,178
male,53,150,87,107,130,155,182
male,58,40,10,17,27,38,51
male,58,45,14,22,32,45,59
male,58,50,17,26,38,51,66
male,58,55,21,31,43,57,73
male,58,60,25,35,48,63,80
male,58,65,28,39,53,69,86
male,58,70,32,43,58,74,92
male,58,75,35,48,63,80,98
male,58,80,38,51,67,85,104
male,58,85,42,55,71,90,109
male,58,90,45,59,76,94,114
male,58,95,48,63,80,99,119
male,58,100,51,66,84,104,124
male,58,105,54,70,88,108,129
male,58,110,58,73,92,112,134
