gender,age,bodyweight,beginner,novice,intermediate,advanced,elite
male,18,40,6,11,16,24,32
male,18,45,8,13,19,27,36
male,18,50,10,15,22,30,40
male,18,55,12,17,25,34,43
male,18,60,13,20,27,37,46
male,18,65,15,22,30,39,50
male,18,70,17,24,32,42,53
male,18,75,19,26,35,45,56
male,18,80,20,28,37,47,59
male,18,85,22,30,39,50,61
male,18,90,23,32,41,52,64
male,18,95,25,33,43,55,66
male,18,100,27,35,45,57,69
male,18,105,28,37,47,59,71
male,18,110,29,38,49,61,74
male,18,115,31,40,51,63,76
male,18,120,32,42,53,65,78
male,18,125,34,43,54,67,80
male,18,130,35,45,56,69,82
male,18,135,36,46,58,71,84
male,18,140,38,48,59,72,86
male,18,145,39,49,61,74,88
male,18,150,40,50,63,76,90
male,23,40,7,11,17,25,34
male,23,45,8,14,21,29,38
male,23,50,10,16,23,32,42
male,23,55,12,18,26,35,46
male,23,60,14,21,29,39,49
male,23,65,16,23,32,42,53
male,23,70,18,25,34,45,56
male,23,75,20,27,37,47,59
male,23,80,21,29,39,50,62
male,23,85,23,31,41,53,65
male,23,90,25,33,44,55,68
male,23,95,26,35,46,58,70
male,23,100,28,37,48,60,73
male,23,105,30,39,50,62,75
male,23,110,31,41,52,65,78
male,23,115,33,42,54,67,80
male,23,120,34,44,56,69,83
male,23,125,36,46,58,71,85
male,23,130,37,47,59,73,87
male,23,135,38,49,61,75,89
male,23,140,40,50,63,77,91
male,23,145,41,52,64,78,93
male,23,150,42,53,66,80,95
male,28,40,7,11,18,25,34
male,28,45,8,14,21,29,38
male,28,50,10,16,24,32,42
male,28,55,12,19,26,36,46
male,28,60,14,21,29,39,49
male,28,65,16,23,32,42,53
male,28,70,18,25,34,45,56
male,28,75,20,27,37,48,59
male,28,80,22,29,39,50,62
male,28,85,23,32,42,53,65
male,28,90,25,33,44,55,68
male,28,95,27,35,46,58,71
male,28,100,28,37,48,60,73
male,28,105,30,39,50,63,76
male,28,110,31,41,52,65,78
male,28,115,33,42,54,67,81
male,28,120,34,44,56,69,83
male,28,125,36,46,58,71,85
male,28,130,37,47,60,73,87
male,28,135,39,49,61,75,89
male,28,140,40,51,63,77,91
male,28,145,41,52,65,79,93
male,28,150,43,54,66,81,95
male,33,40,7,11,18,25,34
male,33,45,8,14,21,29,38
male,33,50,10,16,24,32,42
male,33,55,12,19,26,36,46
male,33,60,14,21,29,39,49
male,33,65,16,23,32,42,53
male,33,70,18,25,34,45,56
male,33,75,20,27,37,48,59
male,33,80,22,29,39,50,62
male,33,85,23,32,42,53,65
male,33,90,25,33,44,55,68
male,33,95,27,35,46,58,71
male,33,100,28,37,48,60,73
male,33,105,30,39,50,63,76
male,33,110,31,41,52,65,78
male,33,115,33,42,54,67,81
male,33,120,34,44,56,69,83
male,33,125,36,46,58,71,85
male,33,130,37,47,60,73,87
male,33,135,39,49,61,75,89
male,33,140,40,51,63,77,91
male,33,145,41,52,65,79,93
male,33,150,43,54,66,81,95
male,38,40,7,11,18,25,34
male,38,45,8,14,21,29,38
male,38,50,10,16,24,32,42
male,38,55,12,19,26,36,46
male,38,60,14,21,29,39,49
male,38,65,16,23,32,42,53
male,38,70,18,25,34,45,56
male,38,75,20,27,37,48,59
male,38,80,22,29,39,50,62
male,38,85,23,32,42,53,65
