gender,age,bodyweight,beginner,novice,intermediate,advanced,elite
male,18,40,21,32,46,63,82
male,18,45,24,36,51,69,89
male,18,50,27,40,56,75,95
male,18,55,30,44,61,80,101
male,18,60,33,47,65,85,106
male,18,65,36,51,69,89,111
male,18,70,39,54,73,94,116
male,18,75,42,57,76,98,121
male,18,80,44,60,80,102,125
male,18,85,47,63,83,106,129
male,18,90,49,66,86,109,133
male,18,95,52,69,89,113,137
male,18,100,54,71,92,116,141
male,18,105,56,74,95,119,145
male,18,110,58,76,98,122,148
male,18,115,60,79,101,125,151
male,18,120,62,81,103,128,155
male,18,125,64,83,106,131,158
male,18,130,66,86,108,134,161
male,18,135,68,88,111,137,164
male,18,140,70,90,113,139,167
male,18,145,72,92,116,142,169
male,18,150,74,94,118,144,172
male,23,40,22,34,49,67,87
male,23,45,25,38,54,73,94
male,23,50,29,42,59,79,101
male,23,55,32,46,64,85,107
male,23,60,35,50,68,90,112
male,23,65,38,54,73,94,118
male,23,70,41,57,77,99,123
male,23,75,44,61,81,103,128
male,23,80,47,64,84,108,132
male,23,85,50,67,88,112,137
male,23,90,52,70,91,115,141
male,23,95,55,73,95,119,145
male,23,100,57,76,98,123,149
male,23,105,59,78,101,126,153
male,23,110,62,81,104,129,157
male,23,115,64,83,107,133,160
male,23,120,66,86,109,136,164
male,23,125,68,88,112,139,167
male,23,130,70,91,115,142,170
male,23,135,72,93,117,144,173
male,23,140,74,95,120,147,176
male,23,145,76,97,122,150,179
male,23,150,78,99,125,153,182
male,28,40,22,34,49,67,87
male,28,45,25,38,54,74,94
male,28,50,29,43,60,79,101
male,28,55,32,47,64,85,107
male,28,60,35,50,69,90,113
male,28,65,39,54,73,95,118
male,28,70,42,57,77,99,123
male,28,75,44,61,81,104,128
male,28,80,47,64,85,108,133
male,28,85,50,67,88,112,137
male,28,90,52,70,92,116,142
male,28,95,55,73,95,120,146
male,28,100,57,76,98,123,150
male,28,105,60,79,101,127,154
male,28,110,62,81,104,130,157
male,28,115,64,84,107,133,161
male,28,120,66,86,110,136,164
male,28,125,68,89,112,139,167
male,28,130,70,91,115,142,171
male,28,135,72,93,118,145,174
male,28,140,74,95,120,148,177
