gender,age,bodyweight,beginner,novice,intermediate,advanced,elite
male,18,40,20,37,59,86,118
male,18,45,24,41,65,94,126
male,18,50,27,46,70,100,133
male,18,55,30,50,75,106,140
male,18,60,34,54,80,112,147
male,18,65,37,58,85,117,153
male,18,70,39,61,89,123,159
male,18,75,42,65,93,127,165
male,18,80,45,68,97,132,170
male,18,85,48,71,101,137,175
male,18,90,50,74,105,141,180
male,18,95,53,77,108,145,184
male,18,100,55,80,112,149,189
male,18,105,57,83,115,153,193
male,18,110,59,86,118,156,197
male,18,115,62,88,121,160,201
male,18,120,64,91,124,163,205
male,18,125,66,93,127,166,209
male,18,130,68,96,130,170,212
male,18,135,70,98,133,173,216
male,18,140,72,100,136,176,219
male,18,145,74,103,138,179,223
male,18,150,76,105,141,182,226
male,23,40,22,39,62,91,124
male,23,45,25,44,69,99,133
male,23,50,29,48,74,106,141
male,23,55,32,53,80,112,149
male,23,60,36,57,85,118,156
male,23,65,39,61,90,124,162
male,23,70,42,65,94,130,168
male,23,75,45,69,99,135,174
male,23,80,48,72,103,140,180
male,23,85,50,75,107,144,185
male,23,90,53,79,111,149,190
male,23,95,56,82,115,153,195
male,23,100,58,85,118,157,200
male,23,105,61,88,122,161,204
male,23,110,63,91,125,165,209
male,23,115,65,93,128,169,213
male,23,120,67,96,132,173,217
male,23,125,70,99,135,176,221
male,23,130,72,101,138,180,225
male,23,135,74,104,141,183,228
male,23,140,76,106,143,186,232
male,23,145,78,109,146,189,235
male,23,150,80,111,149,192,239
male,28,40,22,39,63,92,125
male,28,45,25,44,69,99,134
male,28,50,29,49,75,106,142
male,28,55,32,53,80,113,149
male,28,60,36,57,85,119,156
male,28,65,39,61,90,125,163
male,28,70,42,65,95,130,169
male,28,75,45,69,99,135,175
male,28,80,48,72,103,140,180
male,28,85,51,76,108,145,186
male,28,90,53,79,111,149,191
male,28,95,56,82,115,154,196
male,28,100,58,85,119,158,201
male,28,105,61,88,122,162,205
male,28,110,63,91,126,166,209
male,28,115,65,94,129,170,214
male,28,120,68,97,132,173,218
male,28,125,70,99,135,177,222
male,28,130,72,102,138,180,225
male,28,135,74,104,141,183,229
male,28,140,76,107,144,187,233
male,28,145,78,109,147,190,236
male,28,150,80,111,149,193,240
male,33,40,22,39,63,92,125
male,33,45,25,44,69,99,134
male,33,50,29,49,75,106,142
male,33,55,32,53,80,113,149
male,33,60,36,57,85,119,156
male,33,65,39,61,90,125,163
male,33,70,42,65,95,130,169
male,33,75,45,69,99,135,175
male,33,80,48,72,103,140,180
male,33,85,51,76,108,145,186
male,33,90,53,79,111,149,191
male,33,95,56,82,115,154,196
male,33,100,58,85,119,158,201
male,33,105,61,88,122,162,205
male,33,110,63,91,126,166,209
male,33,115,65,94,129,170,214
male,33,120,68,97,132,173,218
male,33,125,70,99,135,177,222
male,33,130,72,102,138,180,225
male,33,135,74,104,141,183,229
male,33,140,76,107,144,187,233
male,33,145,78,109,147,190,236
male,33,150,80,111,149,193,240
male,38,40,22,39,63,92,125
male,38,45,25,44,69,99,134
male,38,50,29,49,75,106,142
male,38,55,32,53,80,113,149
male,38,60,36,57,85,119,156
male,38,65,39,61,90,125,163
male,38,70,42,65,95,130,169
male,38,75,45,69,99,135,175
male,38,80,48,72,103,140,180
male,38,85,51,76,108,145,186
male,38,90,53,79,111,149,191
male,38,95,56,82,115,154,196
male,38,100,58,85,119,158,201
male,38,105,61,88,122,162,205
male,38,110,63,91,126,166,209
male,38,115,65,94,129,170,214
male,38,120,68,97,132,173,218
male,38,125,70,99,135,177,222
male,38,130,72,102,138,180,225
male,38,135,74,104,141,183,229
male,38,140,76,107,144,187,233
male,38,145,78,109,147,190,236
male,38,150,80,111,149,193,240
male,43,40,21,38,61,89,121
male,43,45,25,43,67,96,130
male,43,50,28,47,72,103,137
male,43,55,31,51,78,109,145
male,43,60,35,55,83,115,151
male,43,65,38,59,87,121,158
male,43,70,41,63,92,126,164
male,43,75,44,67,96,131,170
male,43,80,46,70,100,136,175
male,43,85,49,73,104,141,180
male,43,90,52,77,108,145,185
male,43,95,54,80,112,149,190
male,43,100,57,83,115,153,194
male,43,105,59,85,119,157,199
male,43,110,61,88,122,161,203
male,43,115,63,91,125,164,207
male,43,120,66,94,128,168,211
male,43,125,68,96,131,171,215
male,43,130,70,99,134,175,219
male,43,135,72,101,137,178,222
male,43,140,74,103,140,181,226
male,43,145,76,106,142,184,229
male,43,150,78,108,145,187,232
male,48,40,20,36,57,84,114
male,48,45,23,40,63,90,122
male,48,50,26,44,68,97,129
male,48,55,29,48,73,103,136
male,48,60,32,52,78,108,142
male,48,65,35,56,82,114,148
male,48,70,38,59,86,119,154
male,48,75,41,63,90,123,159
male,48,80,43,66,94,128,164
male,48,85,46,69,98,132,169
male,48,90,48,72,102,136,174
male,48,95,51,75,105,140,178
male,48,100,53,78,108,144,183
male,48,105,55,80,111,148,187
male,48,110,58,83,114,151,191
male,48,115,60,85,117,155,195
male,48,120,62,88,120,158,198
male,48,125,64,90,123,161,202
male,48,130,66,93,126,164,205
male,48,135,68,95,129,167,209
male,48,140,69,97,131,170,212
male,48,145,71,99,134,173,215
male,48,150,73,101,136,176,218
male,53,40,18,33,53,78,106
male,53,45,21,37,58,84,113
male,53,50,24,41,63,90,120
male,53,55,27,45,68,95,126
male,53,60,30,48,72,100,132
male,53,65,33,52,76,105,138
male,53,70,35,55,80,110,143
male,53,75,38,58,84,114,148
male,53,80,40,61,87,118,153
male,53,85,43,64,91,122,157
male,53,90,45,67,94,126,161
male,53,95,47,69,97,130,165
male,53,100,49,72,100,133,169
male,53,105,51,74,103,137,173
male,53,110,53,77,106,140,177
male,53,115,55,79,109,143,181
male,53,120,57,82,112,146,184
male,53,125,59,84,114,149,187
male,53,130,61,86,117,152,191
male,53,135,63,88,119,155,194
male,53,140,64,90,122,158,197
male,53,145,66,92,124,160,200
male,53,150,68,94,126,163,203
male,58,40,17,30,49,71,97
male,58,45,20,34,53,77,104
male,58,50,22,38,58,82,110
male,58,55,25,41,62,87,116
male,58,60,28,44,66,92,121
male,58,65,30,47,70,97,126
male,58,70,32,50,73,101,131
male,58,75,35,53,77,105,135
male,58,80,37,56,80,109,140
male,58,85,39,59,83,112,144
male,58,90,41,61,86,116,148
male,58,95,43,64,89,119,152
male,58,100,45,66,92,122,155
male,58,105,47,68,95,125,159
male,58,110,49,71,97,128,162
male,58,115,51,73,100,131,166
male,58,120,52,75,102,134,169
male,58,125,54,77,105,137,172
male,58,130,56,79,107,140,175
male,58,135,57,81,109,142,178
male,58,140,59,83,111,145,180
male,58,145,61,84,114,147,183
male,58,150,62,86,116,149,186
male,63,40,15,27,44,65,88
male,63,45,18,31,48,70,94
male,63,50,20,34,53,75,100
male,63,55,23,37,56,79,105
male,63,60,25,40,60,84,110
male,63,65,27,43,63,88,114
male,63,70,29,46,67,92,119
male,63,75,32,48,70,95,123
male,63,80,34,51,73,99,127
male,63,85,36,53,76,102,131
male,63,90,37,56,78,105,134
male,63,95,39,58,81,108,138
male,63,100,41,60,84,111,141
male,63,105,43,62,86,114,144
male,63,110,44,64,88,117,147
male,63,115,46,66,91,119,150
male,63,120,48,68,93,122,153
male,63,125,49,70,95,124,156
male,63,130,51,72,97,127,159
male,63,135,52,73,99,129,161
male,63,140,54,75,101,131,164
male,63,145,55,77,103,134,166
male,63,150,56,78,105,136,169
female,18,40,15,28,46,69,95
female,18,45,17,30,49,72,99
female,18,50,18,32,52,75,102
female,18,55,19,34,54,78,106
female,18,60,21,36,56,81,109
female,18,65,22,37,58,83,111
female,18,70,23,39,60,85,114
female,18,75,24,40,62,87,116
female,18,80,25,42,63,89,119
female,23,40,16,30,49,73,101
female,23,45,18,32,52,77,105
female,23,50,19,34,55,80,108
female,23,55,20,36,57,83,112
female,23,60,22,38,59,85,115
female,23,65,23,39,61,88,118
female,23,70,24,41,63,90,121
female,23,75,26,43,65,93,123
female,23,80,27,44,67,95,126
female,28,40,16,30,49,73,101
female,28,45,18,32,52,77,105
female,28,50,19,34,55,80,109
female,28,55,21,36,57,83,112
female,28,60,22,38,59,86,115
female,28,65,23,40,62,88,118
female,28,70,24,41,64,91,121
female,28,75,26,43,65,93,124
female,28,80,27,44,67,95,126
female,33,40,16,30,49,73,101
female,33,45,18,32,52,77,105
female,33,50,19,34,55,80,109
female,33,55,21,36,57,83,112
female,33,60,22,38,59,86,115
female,33,65,23,40,62,88,118
female,33,70,24,41,64,91,121
female,33,75,26,43,65,93,124
female,33,80,27,44,67,95,126
female,38,40,16,30,49,73,101
female,38,45,18,32,52,77,105
female,38,50,19,34,55,80,109
female,38,55,21,36,57,83,112
female,38,60,22,38,59,86,115
female,38,65,23,40,62,88,118
female,38,70,24,41,64,91,121
female,38,75,26,43,65,93,124
female,38,80,27,44,67,95,126
female,43,40,15,29,48,71,98
female,43,45,17,31,51,75,102
female,43,50,19,33,53,78,105
female,43,55,20,35,55,80,109
female,43,60,21,37,58,83,112
female,43,65,23,38,60,86,115
female,43,70,24,40,62,88,117
female,43,75,25,41,63,90,120
female,43,80,26,43,65,92,122
female,48,40,15,27,45,67,92
female,48,45,16,29,47,70,96
female,48,50,17,31,50,73,99
female,48,55,19,33,52,76,102
female,48,60,20,35,54,78,105
female,48,65,21,36,56,80,108
female,48,70,22,38,58,83,110
female,48,75,23,39,60,85,113
female,48,80,24,40,61,87,115
