gender,age,bodyweight,beginner,novice,intermediate,advanced,elite
male,18,40,9,16,25,36,48
male,18,45,12,20,30,41,55
male,18,50,15,24,34,47,61
male,18,55,18,27,39,52,67
male,18,60,21,31,43,57,72
male,18,65,24,35,47,62,78
male,18,70,27,38,51,66,83
male,18,75,30,41,55,71,88
male,18,80,33,45,59,75,93
male,18,85,36,48,63,79,97
male,18,90,38,51,66,83,102
male,18,95,41,54,70,87,106
male,18,100,44,57,73,91,110
male,18,105,46,60,76,95,114
male,18,110,49,63,79,98,118
male,18,115,51,66,83,102,122
male,18,120,53,68,86,105,125
male,18,125,56,71,89,108,129
male,18,130,58,73,91,111,132
male,18,135,60,76,94,115,136
male,18,140,63,78,97,118,139
male,18,145,65,81,100,121,142
male,18,150,67,83,102,123,145
male,23,40,10,17,26,38,51
male,23,45,13,21,31,44,58
male,23,50,16,25,36,50,64
male,23,55,19,29,41,55,70
male,23,60,23,33,46,60,76
male,23,65,26,37,50,65,82
male,23,70,29,40,54,70,88
male,23,75,32,44,58,75,93
male,23,80,35,47,62,80,98
male,23,85,38,51,66,84,103
male,23,90,41,54,70,88,107
male,23,95,43,57,74,92,112
male,23,100,46,60,77,96,116
male,23,105,49,63,81,100,121
male,23,110,51,66,84,104,125
male,23,115,54,69,87,107,129
male,23,120,57,72,91,111,133
male,23,125,59,75,94,114,136
male,23,130,61,78,97,118,140
male,23,135,64,80,100,121,144
male,23,140,66,83,103,124,147
male,23,145,69,86,106,128,150
male,23,150,71,88,108,131,154
male,28,40,10,17,26,38,51
male,28,45,13,21,31,44,58
male,28,50,16,25,36,50,64
male,28,55,19,29,41,55,71
male,28,60,23,33,46,61,77
male,28,65,26,37,50,66,82
male,28,70,29,40,54,71,88
male,28,75,32,44,59,75,93
male,28,80,35,47,63,80,98
male,28,85,38,51,67,84,103
male,28,90,41,54,70,88,108
male,28,95,44,57,74,93,112
male,28,100,46,61,78,97,117
male,28,105,49,64,81,100,121
male,28,110,52,67,84,104,125
male,28,115,54,70,88,108,129
male,28,120,57,72,91,111,133
male,28,125,59,75,94,115,137
male,28,130,62,78,97,118,140
male,28,135,64,81,100,122,144
male,28,140,66,83,103,125,148
male,28,145,69,86,106,128,151
male,28,150,71,88,109,131,154
male,33,40,10,17,26,38,51
male,33,45,13,21,31,44,58
male,33,50,16,25,36,50,64
male,33,55,19,29,41,55,71
male,33,60,23,33,46,61,77
male,33,65,26,37,50,66,82
male,33,70,29,40,54,71,88
male,33,75,32,44,59,75,93
male,33,80,35,47,63,80,98
male,33,85,38,51,67,84,103
male,33,90,41,54,70,88,108
male,33,95,44,57,74,93,112
male,33,100,46,61,78,97,117
male,33,105,49,64,81,100,121
male,33,110,52,67,84,104,125
male,33,115,54,70,88,108,129
male,33,120,57,72,91,111,133
male,33,125,59,75,94,115,137
male,33,130,62,78,97,118,140
male,33,135,64,81,100,122,144
male,33,140,66,83,103,125,148
male,33,145,69,86,106,128,151
male,33,150,71,88,109,131,154
male,38,40,10,17,26,38,51
male,38,45,13,21,31,44,58
male,38,50,16,25,36,50,64
male,38,55,19,29,41,55,71
male,38,60,23,33,46,61,77
male,38,65,26,37,50,66,82
male,38,70,29,40,54,71,88
male,38,75,32,44,59,75,93
male,38,80,35,47,63,80,98
male,38,85,38,51,67,84,103
male,38,90,41,54,70,88,108
male,38,95,44,57,74,93,112
male,38,100,46,61,78,97,117
male,38,105,49,64,81,100,121
male,38,110,52,67,84,104,125
male,38,115,54,70,88,108,129
male,38,120,57,72,91,111,133
male,38,125,59,75,94,115,137
male,38,130,62,78,97,118,140
male,38,135,64,81,100,122,144
male,38,140,66,83,103,125,148
male,38,145,69,86,106,128,151
male,38,150,71,88,109,131,154
male,43,40,10,16,26,37,49
male,43,45,13,20,31,43,56
male,43,50,16,24,35,48,63
male,43,55,19,28,40,54,69
male,43,60,22,32,44,59,74
male,43,65,25,36,49,64,80
male,43,70,28,39,53,68,85
male,43,75,31,43,57,73,90
male,43,80,34,46,61,77,95
male,43,85,37,49,64,82,100
male,43,90,40,53,68,86,105
male,43,95,42,56,72,90,109
male,43,100,45,59,75,94,113
male,43,105,48,62,79,97,117
male,43,110,50,65,82,101,121
male,43,115,53,67,85,105,125
male,43,120,55,70,88,108,129
male,43,125,57,73,91,111,133
male,43,130,60,76,94,115,136
male,43,135,62,78,97,118,140
male,43,140,64,81,100,121,143
male,43,145,67,83,103,124,146
male,43,150,69,86,105,127,150
male,48,40,9,15,24,35,46
male,48,45,12,19,29,40,53
male,48,50,15,23,33,45,59
male,48,55,18,26,37,50,64
male,48,60,21,30,42,55,70
male,48,65,24,33,46,60,75
male,48,70,26,37,50,64,80
male,48,75,29,40,53,69,85
male,48,80,32,43,57,73,89
male,48,85,35,46,61,77,94
male,48,90,37,49,64,81,98
male,48,95,40,52,67,84,102
male,48,100,42,55,71,88,106
male,48,105,45,58,74,92,110
male,48,110,47,61,77,95,114
male,48,115,49,63,80,98,118
male,48,120,52,66,83,102,121
male,48,125,54,69,86,105,125
male,48,130,56,71,88,108,128
male,48,135,58,74,91,111,131
male,48,140,61,76,94,114,134
male,48,145,63,78,97,117,138
male,48,150,65,81,99,119,141
male,53,40,8,14,22,32,43
male,53,45,11,18,27,37,49
male,53,50,14,21,31,42,54
male,53,55,16,25,35,47,60
male,53,60,19,28,39,51,65
male,53,65,22,31,42,56,70
male,53,70,24,34,46,60,74
male,53,75,27,37,50,64,79
male,53,80,30,40,53,67,83
male,53,85,32,43,56,71,87
male,53,90,34,46,59,75,91
male,53,95,37,49,62,78,95
male,53,100,39,51,66,82,99
male,53,105,41,54,68,85,102
male,53,110,44,56,71,88,106
male,53,115,46,59,74,91,109
male,53,120,48,61,77,94,112
male,53,125,50,64,79,97,116
male,53,130,52,66,82,100,119
male,53,135,54,68,85,103,122
male,53,140,56,70,87,106,125
