gender,age,bodyweight,beginner,novice,intermediate,advanced,elite
male,18,40,19,29,42,58,75
male,18,45,23,34,48,65,83
male,18,50,27,39,54,71,90
male,18,55,31,44,59,77,97
male,18,60,35,48,65,83,104
male,18,65,38,52,70,89,110
male,18,70,42,57,74,94,116
male,18,75,45,61,79,100,122
male,18,80,49,64,83,104,127
male,18,85,52,68,88,109,132
male,18,90,55,72,92,114,137
male,18,95,58,75,96,118,142
male,18,100,61,79,99,122,147
male,18,105,64,82,103,127,151
male,18,110,67,85,107,131,156
male,18,115,70,88,110,135,160
male,18,120,73,92,114,138,164
male,18,125,75,94,117,142,168
male,18,130,78,97,120,146,172
male,18,135,80,100,123,149,176
male,18,140,83,103,127,152,179
male,18,145,85,106,130,156,183
male,18,150,88,108,132,159,186
male,23,40,20,31,45,61,79
male,23,45,24,36,51,68,87
male,23,50,29,41,57,75,95
male,23,55,33,46,63,82,103
male,23,60,37,51,68,88,110
male,23,65,41,55,74,94,116
male,23,70,44,60,79,100,122
male,23,75,48,64,83,105,129
male,23,80,52,68,88,111,134
male,23,85,55,72,93,116,140
male,23,90,58,76,97,120,145
male,23,95,62,80,101,125,150
male,23,100,65,83,105,130,155
male,23,105,68,87,109,134,160
male,23,110,71,90,113,138,165
male,23,115,74,94,117,142,169
male,23,120,77,97,120,146,173
male,23,125,80,100,124,150,178
male,23,130,82,103,127,154,182
male,23,135,85,106,131,158,186
male,23,140,88,109,134,161,190
male,23,145,90,112,137,165,193
male,23,150,93,115,140,168,197
male,28,40,20,31,45,61,79
male,28,45,24,36,51,69,88
male,28,50,29,41,57,76,96
male,28,55,33,46,63,82,103
male,28,60,37,51,69,89,110
male,28,65,41,56,74,94,117
male,28,70,45,60,79,100,123
male,28,75,48,64,84,106,129
male,28,80,52,68,88,111,135
male,28,85,55,72,93,116,140
male,28,90,59,76,97,121,146
male,28,95,62,80,101,126,151
male,28,100,65,84,106,130,156
male,28,105,68,87,110,134,161
male,28,110,71,91,113,139,165
male,28,115,74,94,117,143,170
male,28,120,77,97,121,147,174
male,28,125,80,100,124,151,178
male,28,130,83,103,128,154,182
male,28,135,85,106,131,158,186
male,28,140,88,109,134,162,190
male,28,145,91,112,138,165,194
male,28,150,93,115,141,169,198
male,33,40,20,31,45,61,79
male,33,45,24,36,51,69,88
male,33,50,29,41,57,76,96
male,33,55,33,46,63,82,103
male,33,60,37,51,69,89,110
male,33,65,41,56,74,94,117
male,33,70,45,60,79,100,123
male,33,75,48,64,84,106,129
male,33,80,52,68,88,111,135
male,33,85,55,72,93,116,140
male,33,90,59,76,97,121,146
male,33,95,62,80,101,126,151
male,33,100,65,84,106,130,156
male,33,105,68,87,110,134,161
male,33,110,71,91,113,139,165
male,33,115,74,94,117,143,170
male,33,120,77,97,121,147,174
male,33,125,80,100,124,151,178
male,33,130,83,103,128,154,182
male,33,135,85,106,131,158,186
male,33,140,88,109,134,162,190
male,33,145,91,112,138,165,194
male,33,150,93,115,141,169,198
male,38,40,20,31,45,61,79
male,38,45,24,36,51,69,88
male,38,50,29,41,57,76,96
male,38,55,33,46,63,82,103
male,38,60,37,51,69,89,110
male,38,65,41,56,74,94,117
male,38,70,45,60,79,100,123
male,38,75,48,64,84,106,129
male,38,80,52,68,88,111,135
male,38,85,55,72,93,116,140
male,38,90,59,76,97,121,146
male,38,95,62,80,101,126,151
male,38,100,65,84,106,130,156
male,38,105,68,87,110,134,161
male,38,110,71,91,113,139,165
male,38,115,74,94,117,143,170
male,38,120,77,97,121,147,174
male,38,125,80,100,124,151,178
male,38,130,83,103,128,154,182
male,38,135,85,106,131,158,186
male,38,140,88,109,134,162,190
male,38,145,91,112,138,165,194
male,38,150,93,115,141,169,198
male,43,40,19,30,43,59,77
