gender,age,bodyweight,beginner,novice,intermediate,advanced,elite
male,18,40,19,34,54,79,107
male,18,45,24,41,63,90,120
male,18,50,30,48,72,100,132
male,18,55,35,55,80,110,143
male,18,60,41,62,88,119,153
male,18,65,46,68,96,128,164
male,18,70,51,74,103,137,173
male,18,75,56,80,110,145,183
male,18,80,61,86,117,153,192
male,18,85,66,92,124,161,200
male,18,90,71,98,131,168,208
male,18,95,76,103,137,175,216
male,18,100,80,109,143,182,224
male,18,105,85,114,149,189,232
male,18,110,89,119,155,196,239
male,18,115,93,124,161,202,246
male,18,120,98,129,166,208,253
male,18,125,102,133,171,214,259
male,18,130,106,138,177,220,266
male,18,135,110,143,182,226,272
male,18,140,114,147,187,231,278
male,18,145,117,151,192,237,284
male,18,150,121,156,196,242,290
male,23,40,20,35,57,83,113
male,23,45,26,43,66,95,126
male,23,50,31,51,76,106,139
male,23,55,37,58,85,116,151
male,23,60,43,65,93,126,162
male,23,65,49,72,101,136,173
male,23,70,54,79,109,145,183
male,23,75,60,85,117,154,193
male,23,80,65,91,124,162,203
male,23,85,70,98,131,170,212
male,23,90,75,104,138,178,221
male,23,95,80,109,145,186,229
male,23,100,85,115,151,193,237
male,23,105,90,120,158,200,245
male,23,110,94,126,164,207,253
male,23,115,99,131,170,214,260
male,23,120,103,136,176,220,267
male,23,125,108,141,181,226,274
male,23,130,112,146,187,233,281
male,23,135,116,151,192,239,288
male,23,140,120,156,198,245,294
male,23,145,124,160,203,250,300
male,23,150,128,165,208,256,306
male,28,40,20,36,57,84,113
male,28,45,26,43,67,95,127
male,28,50,32,51,76,106,140
male,28,55,37,58,85,117,152
male,28,60,43,65,93,127,163
male,28,65,49,72,102,136,174
male,28,70,54,79,110,145,184
male,28,75,60,85,117,154,194
male,28,80,65,92,125,163,203
male,28,85,70,98,132,171,213
male,28,90,75,104,139,179,221
male,28,95,80,110,145,186,230
male,28,100,85,115,152,194,238
male,28,105,90,121,158,201,246
male,28,110,95,126,164,208,254
male,28,115,99,132,170,214,261
male,28,120,104,137,176,221,268
male,28,125,108,142,182,227,275
male,28,130,112,147,188,233,282
male,28,135,116,151,193,240,289
male,28,140,121,156,198,245,295
male,28,145,125,161,203,251,301
male,28,150,129,165,209,257,308
male,33,40,20,36,57,84,113
male,33,45,26,43,67,95,127
male,33,50,32,51,76,106,140
male,33,55,37,58,85,117,152
male,33,60,43,65,93,127,163
male,33,65,49,72,102,136,174
male,33,70,54,79,110,145,184
male,33,75,60,85,117,154,194
male,33,80,65,92,125,163,203
male,33,85,70,98,132,171,213
male,33,90,75,104,139,179,221
male,33,95,80,110,145,186,230
male,33,100,85,115,152,194,238
male,33,105,90,121,158,201,246
male,33,110,95,126,164,208,254
male,33,115,99,132,170,214,261
male,33,120,104,137,176,221,268
male,33,125,108,142,182,227,275
male,33,130,112,147,188,233,282
male,33,135,116,151,193,240,289
male,33,140,121,156,198,245,295
male,33,145,125,161,203,251,301
male,33,150,129,165,209,257,308
male,38,40,20,36,57,84,113
male,38,45,26,43,67,95,127
male,38,50,32,51,76,106,140
male,38,55,37,58,85,117,152
male,38,60,43,65,93,127,163
male,38,65,49,72,102,136,174
male,38,70,54,79,110,145,184
male,38,75,60,85,117,154,194
male,38,80,65,92,125,163,203
male,38,85,70,98,132,171,213
male,38,90,75,104,139,179,221
male,38,95,80,110,145,186,230
male,38,100,85,115,152,194,238
male,38,105,90,121,158,201,246
male,38,110,95,126,164,208,254
male,38,115,99,132,170,214,261
male,38,120,104,137,176,221,268
male,38,125,108,142,182,227,275
male,38,130,112,147,188,233,282
male,38,135,116,151,193,240,289
male,38,140,121,156,198,245,295
male,38,145,125,161,203,251,301
male,38,150,129,165,209,257,308
male,43,40,19,35,55,81,110
male,43,45,25,42,65,92,123
male,43,50,31,49,74,103,135
male,43,55,36,56,82,113,147
male,43,60,42,63,91,123,158
male,43,65,47,70,99,132,168
male,43,70,53,77,106,141,179
male,43,75,58,83,114,149,188
male,43,80,63,89,121,158,197
male,43,85,68,95,128,166,206
male,43,90,73,101,135,173,215
male,43,95,78,106,141,181,223
male,43,100,83,112,147,188,231
male,43,105,87,117,153,195,238
male,43,110,92,122,159,201,246
male,43,115,96,128,165,208,253
male,43,120,100,133,171,214,260
male,43,125,105,137,176,220,267
male,43,130,109,142,182,226,273
male,43,135,113,147,187,232,280
male,43,140,117,151,192,238,286
male,43,145,121,156,197,244,292
male,43,150,125,160,202,249,298
male,48,40,18,32,52,76,103
male,48,45,23,39,61,87,116
male,48,50,29,46,69,97,127
male,48,55,34,53,77,106,138
male,48,60,39,59,85,115,148
male,48,65,44,66,93,124,158
male,48,70,49,72,100,132,168
male,48,75,54,78,107,140,177
male,48,80,59,84,114,148,185
male,48,85,64,89,120,156,194
male,48,90,69,95,126,163,202
male,48,95,73,100,133,170,209
male,48,100,78,105,138,176,217
male,48,105,82,110,144,183,224
male,48,110,86,115,150,189,231
male,48,115,90,120,155,195,238
male,48,120,94,125,161,201,244
male,48,125,98,129,166,207,251
male,48,130,102,134,171,213,257
male,48,135,106,138,176,218,263
male,48,140,110,142,181,224,269
male,48,145,114,146,185,229,275
male,48,150,117,151,190,234,280
male,53,40,17,30,48,71,96
male,53,45,22,37,56,80,107
male,53,50,27,43,64,90,118
male,53,55,32,49,72,99,128
male,53,60,36,55,79,107,138
male,53,65,41,61,86,115,147
male,53,70,46,67,93,123,156
male,53,75,50,72,99,130,164
male,53,80,55,78,105,137,172
male,53,85,59,83,111,144,180
male,53,90,64,88,117,151,187
male,53,95,68,93,123,157,194
male,53,100,72,98,128,164,201
male,53,105,76,102,134,170,208
male,53,110,80,107,139,175,214
male,53,115,84,111,144,181,221
male,53,120,88,116,149,187,227
male,53,125,91,120,154,192,233
male,53,130,95,124,158,197,238
male,53,135,98,128,163,202,244
male,53,140,102,132,168,207,249
male,53,145,105,136,172,212,255
male,53,150,109,140,176,217,260
male,58,40,15,28,44,65,88
male,58,45,20,34,52,74,98
male,58,50,24,39,59,82,108
male,58,55,29,45,66,90,117
male,58,60,33,51,72,98,126
male,58,65,38,56,79,105,135
male,58,70,42,61,85,113,143
male,58,75,46,66,91,119,150
male,58,80,50,71,97,126,158
male,58,85,54,76,102,132,165
male,58,90,58,80,107,138,171
male,58,95,62,85,113,144,178
male,58,100,66,89,118,150,184
male,58,105,70,94,123,155,190
male,58,110,73,98,127,161,196
male,58,115,77,102,132,166,202
male,58,120,80,106,137,171,208
male,58,125,84,110,141,176,213
male,58,130,87,114,145,181,218
male,58,135,90,117,149,186,224
male,58,140,93,121,154,190,229
male,58,145,97,125,158,195,234
male,58,150,100,128,162,199,238
male,63,40,14,25,40,59,80
male,63,45,18,30,47,67,89
male,63,50,22,36,53,75,98
male,63,55,26,41,60,82,107
male,63,60,30,46,66,89,115
male,63,65,34,51,72,96,122
male,63,70,38,56,77,102,130
male,63,75,42,60,83,108,136
male,63,80,46,65,88,114,143
male,63,85,49,69,93,120,150
male,63,90,53,73,98,126,156
male,63,95,57,77,102,131,162
male,63,100,60,81,107,136,167
male,63,105,63,85,111,141,173
male,63,110,67,89,116,146,178
male,63,115,70,93,120,151,184
male,63,120,73,96,124,155,189
male,63,125,76,100,128,160,194
male,63,130,79,103,132,164,198
male,63,135,82,107,136,169,203
male,63,140,85,110,139,173,208
male,63,145,88,113,143,177,212
male,63,150,90,116,147,181,216
female,18,40,22,35,52,72,95
female,18,45,24,37,55,76,99
female,18,50,26,40,58,79,103
female,18,55,27,42,60,82,106
female,18,60,29,44,63,85,109
female,18,65,31,46,65,88,112
female,18,70,32,48,67,90,115
female,18,75,33,49,69,92,118
female,18,80,35,51,71,95,120
female,23,40,23,37,55,76,100
female,23,45,25,40,58,80,105
female,23,50,27,42,61,84,109
female,23,55,29,44,64,87,112
female,23,60,31,46,66,90,116
female,23,65,32,48,69,93,119
female,23,70,34,50,71,95,122
female,23,75,35,52,73,98,124
female,23,80,37,54,75,100,127
female,28,40,23,37,55,77,101
female,28,45,25,40,58,81,105
female,28,50,27,42,61,84,109
female,28,55,29,44,64,87,113
female,28,60,31,47,67,90,116
female,28,65,32,49,69,93,119
female,28,70,34,51,71,96,122
female,28,75,36,52,73,98,125
female,28,80,37,54,75,100,128
female,33,40,23,37,55,77,101
female,33,45,25,40,58,81,105
female,33,50,27,42,61,84,109
female,33,55,29,44,64,87,113
female,33,60,31,47,67,90,116
female,33,65,32,49,69,93,119
female,33,70,34,51,71,96,122
female,33,75,36,52,73,98,125
female,33,80,37,54,75,100,128
female,38,40,23,37,55,77,101
female,38,45,25,40,58,81,105
female,38,50,27,42,61,84,109
female,38,55,29,44,64,87,113
female,38,60,31,47,67,90,116
female,38,65,32,49,69,93,119
female,38,70,34,51,71,96,122
female,38,75,36,52,73,98,125
female,38,80,37,54,75,100,128
female,43,40,22,36,53,74,98
female,43,45,25,39,57,78,102
female,43,50,26,41,59,81,106
female,43,55,28,43,62,85,109
female,43,60,30,45,65,87,112
female,43,65,31,47,67,90,116
female,43,70,33,49,69,93,118
female,43,75,34,51,71,95,121
female,43,80,36,52,73,97,124
female,48,40,21,34,50,70,92
female,48,45,23,36,53,73,96
female,48,50,25,38,56,77,99
female,48,55,27,41,58,79,103
female,48,60,28,42,61,82,106
female,48,65,30,44,63,85,109
female,48,70,31,46,65,87,111
female,48,75,32,48,67,89,114
female,48,80,34,49,69,91,116
female,53,40,20,31,47,65,85
female,53,45,21,34,49,68,89
female,53,50,23,36,52,71,92
female,53,55,25,38,54,74,95
female,53,60,26,39,56,76,98
female,53,65,27,41,58,79,101
female,53,70,29,43,60,81,103
female,53,75,30,44,62,83,106
female,53,80,31,46,64,85,108
female,58,40,18,29,43,59,78
female,58,45,20,31,45,62,81
female,58,50,21,33,48,65,84
female,58,55,23,34,50,68,87
female,58,60,24,36,52,70,90
female,58,65,25,38,53,72,92
female,58,70,26,39,55,74,95
female,58,75,28,41,57,76,97
female,58,80,29,42,58,78,99
female,63,40,16,26,39,54,71
female,63,45,18,28,41,57,74
female,63,50,19,30,43,59,77
female,63,55,20,31,45,61,79
female,63,60,22,33,47,63,82
female,63,65,23,34,49,65,84
female,63,70,24,36,50,67,86
female,63,75,25,37,52,69,88
female,63,80,26,38,53,71,90
