gender,age,bodyweight,beginner,novice,intermediate,advanced,elite
male,18,40,17,28,42,60,79
male,18,45,21,33,48,67,87
male,18,50,24,37,54,73,95
male,18,55,28,42,59,79,102
male,18,60,31,46,64,85,108
male,18,65,35,50,69,91,114
male,18,70,38,54,73,96,120
male,18,75,41,58,78,101,126
male,18,80,44,61,82,106,131
male,18,85,47,65,86,111,137
male,18,90,50,68,90,115,142
male,18,95,53,72,94,119,146
male,18,100,56,75,98,123,151
male,18,105,59,78,101,127,155
male,18,110,61,81,105,131,160
male,18,115,64,84,108,135,164
male,18,120,66,87,111,139,168
male,18,125,69,90,115,142,172
male,18,130,71,92,118,146,176
male,18,135,74,95,121,149,179
male,18,140,76,98,124,152,183
male,18,145,78,100,127,156,186
male,18,150,80,103,129,159,190
male,23,40,18,29,45,63,84
male,23,45,22,35,51,71,92
male,23,50,26,39,57,78,100
male,23,55,29,44,62,84,108
male,23,60,33,49,68,90,115
male,23,65,37,53,73,96,121
male,23,70,40,57,78,102,127
male,23,75,44,61,82,107,133
male,23,80,47,65,87,112,139
male,23,85,50,69,91,117,144
male,23,90,53,72,95,122,150
male,23,95,56,76,99,126,155
male,23,100,59,79,103,131,160
male,23,105,62,82,107,135,164
male,23,110,65,86,111,139,169
male,23,115,68,89,114,143,173
male,23,120,70,92,118,147,178
male,23,125,73,95,121,151,182
male,23,130,75,98,124,154,186
male,23,135,78,101,128,158,190
male,23,140,80,103,131,161,193
male,23,145,83,106,134,165,197
male,23,150,85,109,137,168,201
male,28,40,18,30,45,64,84
male,28,45,22,35,51,71,93
male,28,50,26,40,57,78,101
male,28,55,30,44,63,84,108
male,28,60,33,49,68,90,115
male,28,65,37,53,73,96,122
male,28,70,40,57,78,102,128
male,28,75,44,61,83,107,134
male,28,80,47,65,87,112,140
male,28,85,50,69,91,117,145
male,28,90,53,72,96,122,150
male,28,95,56,76,100,127,155
male,28,100,59,79,104,131,160
male,28,105,62,83,107,135,165
male,28,110,65,86,111,139,170
male,28,115,68,89,115,143,174
male,28,120,70,92,118,147,178
male,28,125,73,95,122,151,182
male,28,130,76,98,125,155,186
male,28,135,78,101,128,158,190
male,28,140,81,104,131,162,194
male,28,145,83,107,134,165,198
male,28,150,85,109,137,169,201
male,33,40,18,30,45,64,84
male,33,45,22,35,51,71,93
male,33,50,26,40,57,78,101
male,33,55,30,44,63,84,108
male,33,60,33,49,68,90,115
male,33,65,37,53,73,96,122
male,33,70,40,57,78,102,128
male,33,75,44,61,83,107,134
male,33,80,47,65,87,112,140
male,33,85,50,69,91,117,145
male,33,90,53,72,96,122,150
male,33,95,56,76,100,127,155
male,33,100,59,79,104,131,160
male,33,105,62,83,107,135,165
male,33,110,65,86,111,139,170
male,33,115,68,89,115,143,174
male,33,120,70,92,118,147,178
male,33,125,73,95,122,151,182
male,33,130,76,98,125,155,186
male,33,135,78,101,128,158,190
male,33,140,81,104,131,162,194
male,33,145,83,107,134,165,198
male,33,150,85,109,137,169,201
male,38,40,18,30,45,64,84
male,38,45,22,35,51,71,93
male,38,50,26,40,57,78,101
male,38,55,30,44,63,84,108
male,38,60,33,49,68,90,115
male,38,65,37,53,73,96,122
male,38,70,40,57,78,102,128
male,38,75,44,61,83,107,134
male,38,80,47,65,87,112,140
male,38,85,50,69,91,117,145
male,38,90,53,72,96,122,150
male,38,95,56,76,100,127,155
male,38,100,59,79,104,131,160
male,38,105,62,83,107,135,165
male,38,110,65,86,111,139,170
male,38,115,68,89,115,143,174
male,38,120,70,92,118,147,178
male,38,125,73,95,122,151,182
male,38,130,76,98,125,155,186
male,38,135,78,101,128,158,190
male,38,140,81,104,131,162,194
male,38,145,83,107,134,165,198
male,38,150,85,109,137,169,201
male,43,40,17,29,44,62,82
male,43,45,21,34,50,69,90
male,43,50,25,38,55,75,98
male,43,55,29,43,61,82,105
male,43,60,32,47,66,88,111
male,43,65,36,51,71,93,118
male,43,70,39,55,76,99,124
male,43,75,42,59,80,104,130
male,43,80,46,63,85,109,135
male,43,85,49,67,89,114,141
male,43,90,52,70,93,118,146
male,43,95,55,74,97,123,151
male,43,100,58,77,101,127,155
male,43,105,60,80,104,131,160
male,43,110,63,83,108,135,164
male,43,115,66,86,111,139,169
male,43,120,68,89,115,143,173
male,43,125,71,92,118,147,177
male,43,130,73,95,121,150,181
male,43,135,76,98,124,154,185
male,43,140,78,101,127,157,188
male,43,145,81,103,130,160,192
male,43,150,83,106,133,163,195
male,48,40,16,27,41,58,77
male,48,45,20,32,47,65,85
male,48,50,23,36,52,71,92
male,48,55,27,40,57,77,98
male,48,60,30,44,62,82,105
male,48,65,34,48,67,88,111
male,48,70,37,52,71,93,116
male,48,75,40,56,75,98,122
male,48,80,43,59,79,102,127
male,48,85,46,63,83,107,132
male,48,90,49,66,87,111,137
male,48,95,51,69,91,115,142
male,48,100,54,72,94,119,146
male,48,105,57,75,98,123,150
male,48,110,59,78,101,127,154
male,48,115,62,81,105,131,158
male,48,120,64,84,108,134,162
male,48,125,67,87,111,138,166
male,48,130,69,89,114,141,170
male,48,135,71,92,117,144,173
male,48,140,73,95,120,147,177
male,48,145,76,97,122,151,180
male,48,150,78,99,125,154,184
male,53,40,15,25,38,54,71
male,53,45,18,29,43,60,78
male,53,50,22,33,48,66,85
male,53,55,25,37,53,71,91
male,53,60,28,41,57,76,97
male,53,65,31,45,62,81,103
male,53,70,34,48,66,86,108
male,53,75,37,52,70,91,113
male,53,80,40,55,74,95,118
male,53,85,42,58,77,99,123
male,53,90,45,61,81,103,127
male,53,95,48,64,84,107,131
male,53,100,50,67,88,111,135
male,53,105,53,70,91,114,139
male,53,110,55,73,94,118,143
male,53,115,57,75,97,121,147
male,53,120,60,78,100,125,151
male,53,125,62,80,103,128,154
male,53,130,64,83,106,131,158
male,53,135,66,85,108,134,161
male,53,140,68,88,111,137,164
male,53,145,70,90,113,140,167
male,53,150,72,92,116,142,170
male,58,40,14,23,35,49,65
male,58,45,17,27,40,55,72
male,58,50,20,31,44,60,78
male,58,55,23,34,49,65,84
male,58,60,26,38,53,70,89
male,58,65,29,41,57,75,94
male,58,70,31,44,60,79,99
male,58,75,34,47,64,83,104
male,58,80,36,50,68,87,108
male,58,85,39,53,71,91,112
male,58,90,41,56,74,95,116
male,58,95,44,59,77,98,120
male,58,100,46,62,80,102,124
male,58,105,48,64,83,105,128
male,58,110,50,67,86,108,131
male,58,115,53,69,89,111,135
male,58,120,55,71,92,114,138
male,58,125,57,74,94,117,141
male,58,130,59,76,97,120,144
male,58,135,61,78,99,123,147
male,58,140,62,80,102,125,150
male,58,145,64,83,104,128,153
male,58,150,66,85,106,131,156
male,63,40,13,21,32,45,59
male,63,45,15,24,36,50,65
male,63,50,18,28,40,55,71
male,63,55,21,31,44,59,76
male,63,60,23,34,48,64,81
male,63,65,26,37,51,68,86
male,63,70,28,40,55,72,90
male,63,75,31,43,58,75,94
male,63,80,33,46,61,79,98
male,63,85,35,48,64,83,102
male,63,90,38,51,67,86,106
male,63,95,40,53,70,89,109
male,63,100,42,56,73,92,113
male,63,105,44,58,76,95,116
male,63,110,46,61,78,98,119
male,63,115,48,63,81,101,122
male,63,120,50,65,83,104,125
male,63,125,51,67,86,106,128
male,63,130,53,69,88,109,131
male,63,135,55,71,90,111,134
male,63,140,57,73,92,114,137
male,63,145,58,75,94,116,139
male,63,150,60,77,97,119,142
female,18,40,14,22,33,47,62
female,18,45,15,24,36,50,65
female,18,50,17,26,38,53,69
female,18,55,18,28,41,55,72
female,18,60,20,30,43,58,75
female,18,65,21,32,45,60,77
female,18,70,22,33,47,62,80
female,18,75,24,35,49,65,82
female,18,80,25,36,50,67,84
female,23,40,14,23,35,50,65
female,23,45,16,26,38,53,69
female,23,50,18,28,41,56,73
female,23,55,19,30,43,59,76
female,23,60,21,32,45,61,79
female,23,65,22,33,47,64,82
female,23,70,24,35,49,66,84
female,23,75,25,37,51,68,87
female,23,80,26,38,53,70,89
female,28,40,14,23,35,50,66
female,28,45,16,26,38,53,69
female,28,50,18,28,41,56,73
female,28,55,19,30,43,59,76
female,28,60,21,32,45,62,79
female,28,65,22,34,48,64,82
female,28,70,24,35,50,66,85
female,28,75,25,37,51,69,87
female,28,80,26,38,53,71,89
female,33,40,14,23,35,50,66
female,33,45,16,26,38,53,69
female,33,50,18,28,41,56,73
female,33,55,19,30,43,59,76
female,33,60,21,32,45,62,79
female,33,65,22,34,48,64,82
female,33,70,24,35,50,66,85
female,33,75,25,37,51,69,87
female,33,80,26,38,53,71,89
female,38,40,14,23,35,50,66
female,38,45,16,26,38,53,69
female,38,50,18,28,41,56,73
female,38,55,19,30,43,59,76
female,38,60,21,32,45,62,79
female,38,65,22,34,48,64,82
female,38,70,24,35,50,66,85
female,38,75,25,37,51,69,87
female,38,80,26,38,53,71,89
female,43,40,14,23,34,48,64
female,43,45,16,25,37,51,67
female,43,50,17,27,40,54,71
female,43,55,19,29,42,57,74
female,43,60,20,31,44,60,77
female,43,65,22,33,46,62,79
female,43,70,23,34,48,64,82
female,43,75,24,36,50,66,84
female,43,80,26,37,52,69,87
female,48,40,13,21,32,45,60
female,48,45,15,23,35,48,63
female,48,50,16,25,37,51,66
female,48,55,18,27,39,54,69
female,48,60,19,29,41,56,72
female,48,65,20,31,43,58,75
female,48,70,22,32,45,60,77
female,48,75,23,34,47,62,79
female,48,80,24,35,49,64,82
female,53,40,12,20,30,42,56
female,53,45,14,22,32,45,59
female,53,50,15,24,34,47,62
female,53,55,16,25,36,50,64
female,53,60,18,27,38,52,67
female,53,65,19,28,40,54,69
female,53,70,20,30,42,56,72
female,53,75,21,31,44,58,74
female,53,80,22,32,45,60,76
female,58,40,11,18,27,39,51
female,58,45,13,20,30,41,54
female,58,50,14,22,32,43,57
female,58,55,15,23,33,46,59
female,58,60,16,25,35,48,61
female,58,65,17,26,37,50,64
female,58,70,18,27,38,51,66
female,58,75,20,29,40,53,67
female,58,80,21,30,41,55,69
female,63,40,10,17,25,35,46
female,63,45,11,18,27,37,49
female,63,50,13,20,29,39,51
female,63,55,14,21,30,41,54
female,63,60,15,22,32,43,56
female,63,65,16,24,33,45,58
female,63,70,17,25,35,47,60
female,63,75,18,26,36,48,61
female,63,80,19,27,38,50,63
