gender,age,bodyweight,beginner,novice,intermediate,advanced,elite
male,18,40,8,15,25,37,50
male,18,45,11,19,29,42,57
male,18,50,14,23,34,48,63
male,18,55,17,26,39,53,69
male,18,60,20,30,43,58,75
male,18,65,23,33,47,63,80
male,18,70,25,37,51,67,85
male,18,75,28,40,55,72,90
male,18,80,31,43,59,76,95
male,18,85,34,47,62,80,100
male,18,90,36,50,66,84,104
male,18,95,39,53,69,88,108
male,18,100,41,56,73,92,113
male,18,105,44,58,76,96,117
male,18,110,46,61,79,99,121
male,18,115,49,64,82,103,124
male,18,120,51,67,85,106,128
male,18,125,53,69,88,109,132
male,18,130,55,72,91,113,135
male,18,135,58,74,94,116,139
male,18,140,60,77,97,119,142
male,18,145,62,79,99,122,145
male,18,150,64,81,102,125,148
male,23,40,9,16,26,39,53
male,23,45,12,20,31,45,60
male,23,50,15,24,36,50,66
male,23,55,18,28,41,56,73
male,23,60,21,32,45,61,79
male,23,65,24,35,50,66,85
male,23,70,27,39,54,71,90
male,23,75,30,42,58,76,95
male,23,80,33,46,62,81,101
male,23,85,36,49,66,85,105
male,23,90,38,52,70,89,110
male,23,95,41,56,73,93,115
male,23,100,44,59,77,97,119
male,23,105,46,62,80,101,123
male,23,110,49,65,84,105,128
male,23,115,51,68,87,109,132
male,23,120,54,70,90,112,136
male,23,125,56,73,93,116,139
male,23,130,59,76,96,119,143
male,23,135,61,78,99,122,147
male,23,140,63,81,102,126,150
male,23,145,65,84,105,129,154
male,23,150,68,86,108,132,157
male,28,40,9,16,26,39,53
male,28,45,12,20,31,45,60
male,28,50,15,24,36,51,67
male,28,55,18,28,41,56,73
male,28,60,21,32,45,62,79
male,28,65,24,35,50,67,85
male,28,70,27,39,54,72,90
male,28,75,30,43,58,76,96
male,28,80,33,46,62,81,101
male,28,85,36,49,66,85,106
male,28,90,38,53,70,90,111
male,28,95,41,56,74,94,115
male,28,100,44,59,77,98,120
male,28,105,47,62,81,102,124
male,28,110,49,65,84,105,128
male,28,115,52,68,87,109,132
male,28,120,54,71,90,113,136
