gender,age,bodyweight,beginner,novice,intermediate,advanced,elite
male,18,40,29,58,100,152,212
male,18,45,39,71,116,173,236
male,18,50,48,84,132,192,259
male,18,55,57,96,148,210,280
male,18,60,67,108,163,228,300
male,18,65,76,120,177,245,320
male,18,70,85,131,190,261,338
male,18,75,94,142,204,276,355
male,18,80,102,153,216,291,372
male,18,85,111,163,229,305,388
male,18,90,119,173,241,319,404
male,18,95,127,183,252,332,419
male,18,100,135,193,263,345,433
male,18,105,143,202,274,357,447
male,18,110,151,211,285,369,460
male,18,115,159,220,295,381,474
male,18,120,166,229,305,393,486
male,18,125,173,237,315,404,499
male,18,130,180,245,324,414,511
male,18,135,187,253,334,425,522
male,18,140,194,261,343,435,534
male,18,145,201,269,352,445,545
male,18,150,207,277,360,455,556
male,23,40,31,62,106,161,225
male,23,45,41,75,123,183,250
male,23,50,51,89,140,203,274
male,23,55,61,102,156,222,296
male,23,60,71,114,172,241,318
male,23,65,80,127,187,259,338
male,23,70,90,139,201,276,357
male,23,75,99,150,215,292,376
male,23,80,108,162,229,308,394
male,23,85,117,173,242,323,411
male,23,90,126,183,254,337,427
male,23,95,135,194,267,351,443
male,23,100,143,204,278,365,458
male,23,105,152,214,290,378,473
male,23,110,160,223,301,391,487
male,23,115,168,233,312,403,501
male,23,120,175,242,323,415,514
male,23,125,183,251,333,427,527
male,23,130,191,260,343,438,540
male,23,135,198,268,353,449,552
male,23,140,205,277,363,460,564
male,23,145,212,285,372,471,576
male,23,150,219,293,381,481,588
male,28,40,31,62,106,162,226
male,28,45,41,76,124,183,251
male,28,50,51,89,141,204,275
male,28,55,61,102,157,223,298
male,28,60,71,115,173,242,319
male,28,65,81,127,188,260,339
male,28,70,90,139,202,277,359
male,28,75,100,151,216,293,377
male,28,80,109,162,230,309,395
male,28,85,118,173,243,324,412
male,28,90,127,184,255,338,429
male,28,95,135,194,268,353,444
male,28,100,144,205,280,366,460
male,28,105,152,214,291,379,475
male,28,110,160,224,302,392,489
male,28,115,168,234,313,405,503
male,28,120,176,243,324,417,516
male,28,125,184,252,334,429,529
male,28,130,191,261,344,440,542
male,28,135,199,269,354,451,554
male,28,140,206,278,364,462,567
male,28,145,213,286,373,473,578
male,28,150,220,294,383,483,590
male,33,40,31,62,106,162,226
male,33,45,41,76,124,183,251
male,33,50,51,89,141,204,275
male,33,55,61,102,157,223,298
male,33,60,71,115,173,242,319
male,33,65,81,127,188,260,339
male,33,70,90,139,202,277,359
male,33,75,100,151,216,293,377
male,33,80,109,162,230,309,395
male,33,85,118,173,243,324,412
male,33,90,127,184,255,338,429
male,33,95,135,194,268,353,444
male,33,100,144,205,280,366,460
male,33,105,152,214,291,379,475
male,33,110,160,224,302,392,489
male,33,115,168,234,313,405,503
male,33,120,176,243,324,417,516
male,33,125,184,252,334,429,529
male,33,130,191,261,344,440,542
male,33,135,199,269,354,451,554
male,33,140,206,278,364,462,567
male,33,145,213,286,373,473,578
male,33,150,220,294,383,483,590
male,38,40,31,62,106,162,226
male,38,45,41,76,124,183,251
male,38,50,51,89,141,204,275
male,38,55,61,102,157,223,298
male,38,60,71,115,173,242,319
male,38,65,81,127,188,260,339
male,38,70,90,139,202,277,359
male,38,75,100,151,216,293,377
male,38,80,109,162,230,309,395
male,38,85,118,173,243,324,412
male,38,90,127,184,255,338,429
male,38,95,135,194,268,353,444
male,38,100,144,205,280,366,460
male,38,105,152,214,291,379,475
male,38,110,160,224,302,392,489
male,38,115,168,234,313,405,503
male,38,120,176,243,324,417,516
male,38,125,184,252,334,429,529
male,38,130,191,261,344,440,542
male,38,135,199,269,354,451,554
male,38,140,206,278,364,462,567
male,38,145,213,286,373,473,578
male,38,150,220,294,383,483,590
male,43,40,30,60,103,157,219
male,43,45,40,73,120,178,243
male,43,50,49,86,136,198,267
male,43,55,59,99,152,217,289
male,43,60,69,111,167,235,309
male,43,65,78,123,182,252,329
male,43,70,87,135,196,268,348
male,43,75,97,146,210,284,366
male,43,80,105,157,223,299,383
male,43,85,114,168,235,314,400
male,43,90,123,178,248,328,416
male,43,95,131,188,259,342,431
male,43,100,139,198,271,355,446
male,43,105,148,208,282,368,460
male,43,110,155,217,293,380,474
male,43,115,163,226,304,392,487
male,43,120,171,235,314,404,501
male,43,125,178,244,324,415,513
