gender,age,bodyweight,beginner,novice,intermediate,advanced,elite
male,18,40,21,35,54,77,103
male,18,45,27,43,64,89,116
male,18,50,34,51,74,100,129
male,18,55,40,59,83,111,141
male,18,60,46,67,92,121,153
male,18,65,53,74,101,131,164
male,18,70,59,81,109,140,174
male,18,75,65,88,117,150,185
male,18,80,71,95,125,158,194
male,18,85,76,102,132,167,204
male,18,90,82,108,140,175,213
male,18,95,87,114,147,183,222
male,18,100,93,121,154,191,230
male,18,105,98,126,160,198,238
male,18,110,103,132,167,206,246
male,18,115,108,138,173,213,254
male,18,120,113,144,180,220,261
male,18,125,118,149,186,226,269
male,18,130,122,154,192,233,276
male,18,135,127,159,197,239,283
male,18,140,132,165,203,245,290
male,18,145,136,170,209,251,296
male,18,150,141,174,214,257,303
male,23,40,22,37,57,81,109
male,23,45,29,46,68,94,123
male,23,50,36,54,78,106,136
male,23,55,42,63,88,117,149
male,23,60,49,71,97,128,162
male,23,65,56,78,106,139,173
male,23,70,62,86,115,149,184
male,23,75,68,93,124,158,195
male,23,80,75,101,132,168,206
male,23,85,81,108,140,177,216
male,23,90,87,114,148,185,225
male,23,95,92,121,155,194,234
male,23,100,98,127,163,202,243
male,23,105,104,134,170,210,252
male,23,110,109,140,177,217,260
male,23,115,114,146,183,225,269
male,23,120,119,152,190,232,277
male,23,125,125,158,196,239,284
male,23,130,130,163,203,246,292
male,23,135,134,169,209,253,299
male,23,140,139,174,215,260,306
male,23,145,144,179,221,266,313
male,23,150,149,185,226,272,320
male,28,40,22,37,57,82,109
male,28,45,29,46,68,94,123
male,28,50,36,55,78,106,137
male,28,55,43,63,88,118,150
male,28,60,49,71,98,129,162
male,28,65,56,79,107,139,174
male,28,70,62,86,116,149,185
male,28,75,69,94,124,159,196
male,28,80,75,101,132,168,206
male,28,85,81,108,140,177,216
male,28,90,87,115,148,186,226
male,28,95,93,121,156,194,235
male,28,100,98,128,163,203,244
male,28,105,104,134,170,211,253
male,28,110,109,140,177,218,261
male,28,115,115,147,184,226,270
male,28,120,120,152,191,233,278
male,28,125,125,158,197,240,285
male,28,130,130,164,203,247,293
male,28,135,135,169,209,254,300
male,28,140,140,175,215,261,307
male,28,145,145,180,221,267,315
male,28,150,149,185,227,273,321
male,33,40,22,37,57,82,109
male,33,45,29,46,68,94,123
male,33,50,36,55,78,106,137
male,33,55,43,63,88,118,150
male,33,60,49,71,98,129,162
male,33,65,56,79,107,139,174
male,33,70,62,86,116,149,185
male,33,75,69,94,124,159,196
male,33,80,75,101,132,168,206
male,33,85,81,108,140,177,216
male,33,90,87,115,148,186,226
male,33,95,93,121,156,194,235
male,33,100,98,128,163,203,244
male,33,105,104,134,170,211,253
male,33,110,109,140,177,218,261
male,33,115,115,147,184,226,270
male,33,120,120,152,191,233,278
male,33,125,125,158,197,240,285
male,33,130,130,164,203,247,293
male,33,135,135,169,209,254,300
male,33,140,140,175,215,261,307
male,33,145,145,180,221,267,315
male,33,150,149,185,227,273,321
male,38,40,22,37,57,82,109
male,38,45,29,46,68,94,123
male,38,50,36,55,78,106,137
male,38,55,43,63,88,118,150
male,38,60,49,71,98,129,162
male,38,65,56,79,107,139,174
male,38,70,62,86,116,149,185
male,38,75,69,94,124,159,196
male,38,80,75,101,132,168,206
male,38,85,81,108,140,177,216
male,38,90,87,115,148,186,226
male,38,95,93,121,156,194,235
male,38,100,98,128,163,203,244
male,38,105,104,134,170,211,253
male,38,110,109,140,177,218,261
male,38,115,115,147,184,226,270
male,38,120,120,152,191,233,278
male,38,125,125,158,197,240,285
male,38,130,130,164,203,247,293
male,38,135,135,169,209,254,300
male,38,140,140,175,215,261,307
male,38,145,145,180,221,267,315
male,38,150,149,185,227,273,321
male,43,40,22,36,56,79,106
male,43,45,28,45,66,91,120
male,43,50,35,53,76,103,133
male,43,55,41,61,85,114,145
male,43,60,48,69,95,125,157
male,43,65,54,76,104,135,169
male,43,70,60,84,112,145,180
male,43,75,67,91,120,154,190
male,43,80,73,98,128,163,200
male,43,85,78,105,136,172,210
male,43,90,84,111,144,180,219
male,43,95,90,118,151,189,228
male,43,100,95,124,158,196,237
male,43,105,101,130,165,204,245
male,43,110,106,136,172,212,253
male,43,115,111,142,178,219,261
male,43,120,116,148,185,226,269
male,43,125,121,153,191,233,277
male,43,130,126,159,197,240,284
male,43,135,131,164,203,246,291
male,43,140,136,169,209,253,298
male,43,145,140,175,215,259,305
male,43,150,145,180,220,265,312
male,48,40,20,34,52,74,99
male,48,45,26,42,62,86,112
male,48,50,33,50,71,97,125
male,48,55,39,57,80,107,137
male,48,60,45,65,89,117,148
male,48,65,51,72,97,127,158
male,48,70,57,79,105,136,169
male,48,75,63,85,113,145,179
male,48,80,68,92,121,153,188
male,48,85,74,98,128,161,197
male,48,90,79,105,135,169,206
male,48,95,84,111,142,177,214
male,48,100,90,117,149,185,223
