gender,age,bodyweight,beginner,novice,intermediate,advanced,elite
male,18,40,37,57,82,113,146
male,18,45,45,67,94,126,161
male,18,50,53,76,106,139,176
male,18,55,61,86,116,152,190
male,18,60,68,94,127,164,203
male,18,65,75,103,137,175,216
male,18,70,83,111,146,185,227
male,18,75,89,119,155,196,239
male,18,80,96,127,164,205,250
male,18,85,103,134,172,215,260
male,18,90,109,142,180,224,270
male,18,95,115,149,188,233,280
male,18,100,121,155,196,241,289
male,18,105,127,162,203,249,298
male,18,110,133,168,211,257,307
male,18,115,138,175,218,265,315
male,18,120,143,181,224,273,323
male,18,125,149,187,231,280,331
male,18,130,154,192,237,287,339
male,18,135,159,198,244,294,346
male,18,140,164,204,250,301,354
male,18,145,169,209,256,307,361
male,18,150,174,214,262,314,368
male,23,40,39,60,87,119,154
male,23,45,48,71,100,134,171
male,23,50,56,81,112,147,186
male,23,55,64,91,123,161,201
male,23,60,72,100,134,173,215
male,23,65,80,109,144,185,228
male,23,70,87,118,154,196,241
male,23,75,95,126,164,207,252
male,23,80,102,134,173,217,264
male,23,85,108,142,182,227,275
male,23,90,115,150,191,237,286
male,23,95,122,157,199,246,296
male,23,100,128,164,207,255,306
male,23,105,134,171,215,264,315
male,23,110,140,178,223,272,324
male,23,115,146,185,230,280,333
male,23,120,152,191,237,288,342
male,23,125,157,197,244,296,350
male,23,130,163,204,251,304,358
male,23,135,168,210,258,311,366
male,23,140,173,215,264,318,374
male,23,145,179,221,271,325,381
male,23,150,184,227,277,332,389
male,28,40,39,60,87,120,155
male,28,45,48,71,100,134,171
male,28,50,56,81,112,148,187
male,28,55,64,91,124,161,202
male,28,60,72,100,134,174,216
male,28,65,80,109,145,185,229
male,28,70,88,118,155,197,241
male,28,75,95,127,165,208,253
male,28,80,102,135,174,218,265
male,28,85,109,143,183,228,276
male,28,90,116,150,192,238,287
male,28,95,122,158,200,247,297
male,28,100,128,165,208,256,307
male,28,105,135,172,216,265,316
male,28,110,141,179,224,273,325
male,28,115,147,185,231,281,334
male,28,120,152,192,238,289,343
male,28,125,158,198,245,297,351
male,28,130,163,204,252,305,360
male,28,135,169,210,259,312,368
male,28,140,174,216,265,319,375
male,28,145,179,222,272,326,383
male,28,150,184,228,278,333,390
male,33,40,39,60,87,120,155
male,33,45,48,71,100,134,171
male,33,50,56,81,112,148,187
male,33,55,64,91,124,161,202
male,33,60,72,100,134,174,216
male,33,65,80,109,145,185,229
male,33,70,88,118,155,197,241
male,33,75,95,127,165,208,253
male,33,80,102,135,174,218,265
male,33,85,109,143,183,228,276
male,33,90,116,150,192,238,287
male,33,95,122,158,200,247,297
male,33,100,128,165,208,256,307
male,33,105,135,172,216,265,316
male,33,110,141,179,224,273,325
male,33,115,147,185,231,281,334
male,33,120,152,192,238,289,343
male,33,125,158,198,245,297,351
male,33,130,163,204,252,305,360
male,33,135,169,210,259,312,368
male,33,140,174,216,265,319,375
male,33,145,179,222,272,326,383
male,33,150,184,228,278,333,390
male,38,40,39,60,87,120,155
male,38,45,48,71,100,134,171
male,38,50,56,81,112,148,187
male,38,55,64,91,124,161,202
male,38,60,72,100,134,174,216
male,38,65,80,109,145,185,229
male,38,70,88,118,155,197,241
male,38,75,95,127,165,208,253
male,38,80,102,135,174,218,265
male,38,85,109,143,183,228,276
male,38,90,116,150,192,238,287
male,38,95,122,158,200,247,297
male,38,100,128,165,208,256,307
male,38,105,135,172,216,265,316
male,38,110,141,179,224,273,325
male,38,115,147,185,231,281,334
male,38,120,152,192,238,289,343
male,38,125,158,198,245,297,351
male,38,130,163,204,252,305,360
male,38,135,169,210,259,312,368
male,38,140,174,216,265,319,375
male,38,145,179,222,272,326,383
male,38,150,184,228,278,333,390
male,43,40,38,59,85,116,150
male,43,45,46,69,97,130,166
male,43,50,55,79,109,144,181
male,43,55,62,88,120,156,196
male,43,60,70,97,130,168,209
male,43,65,78,106,141,180,222
male,43,70,85,115,150,191,234
male,43,75,92,123,160,201,246
male,43,80,99,131,169,211,257
male,43,85,106,138,177,221,268
male,43,90,112,146,186,231,278
male,43,95,118,153,194,240,288
male,43,100,125,160,202,248,297
male,43,105,131,167,209,257,307
male,43,110,136,173,217,265,316
male,43,115,142,180,224,273,324
male,43,120,148,186,231,281,333
male,43,125,153,192,238,288,341
male,43,130,158,198,244,295,349
male,43,135,164,204,251,303,356
male,43,140,169,210,257,309,364
male,43,145,174,215,263,316,371
male,43,150,179,221,269,323,378
male,48,40,36,55,80,109,141
male,48,45,44,65,91,122,156
male,48,50,51,74,102,135,170
male,48,55,59,83,113,147,184
male,48,60,66,91,123,158,196
male,48,65,73,100,132,169,208
male,48,70,80,108,141,179,220
male,48,75,86,115,150,189,231
male,48,80,93,123,158,199,241
male,48,85,99,130,167,208,251
male,48,90,105,137,175,217,261
male,48,95,111,144,182,225,270
male,48,100,117,150,190,233,279
male,48,105,123,157,197,241,288
male,48,110,128,163,204,249,296
male,48,115,134,169,210,256,305
male,48,120,139,175,217,264,313
male,48,125,144,181,223,271,320
male,48,130,149,186,230,278,328
male,48,135,154,192,236,284,335
male,48,140,159,197,242,291,342
male,48,145,163,202,247,297,349
male,48,150,168,207,253,303,356
male,53,40,33,51,74,101,131
male,53,45,40,60,85,113,145
male,53,50,48,69,95,125,158
male,53,55,54,77,104,136,170
male,53,60,61,85,114,147,182
male,53,65,68,92,122,157,193
male,53,70,74,100,131,166,204
male,53,75,80,107,139,175,214
male,53,80,86,114,147,184,224
male,53,85,92,121,155,193,233
male,53,90,98,127,162,201,242
male,53,95,103,133,169,209,251
male,53,100,109,139,176,216,259
male,53,105,114,145,182,224,267
male,53,110,119,151,189,231,275
male,53,115,124,157,195,238,283
male,53,120,129,162,201,245,290
male,53,125,133,167,207,251,297
male,53,130,138,173,213,257,304
male,53,135,143,178,219,264,311
male,53,140,147,183,224,270,317
male,53,145,152,188,229,276,324
male,53,150,156,192,235,281,330
male,58,40,30,47,68,93,120
male,58,45,37,55,78,104,133
male,58,50,44,63,87,115,145
male,58,55,50,70,96,125,156
male,58,60,56,78,104,134,167
male,58,65,62,85,112,144,177
male,58,70,68,92,120,152,187
male,58,75,74,98,128,161,196
male,58,80,79,104,135,169,205
male,58,85,84,110,142,177,214
male,58,90,90,116,148,184,222
male,58,95,95,122,155,191,230
male,58,100,100,128,161,198,238
male,58,105,104,133,167,205,245
male,58,110,109,138,173,212,252
male,58,115,114,144,179,218,259
male,58,120,118,149,184,224,266
male,58,125,122,154,190,230,272
male,58,130,127,158,195,236,279
male,58,135,131,163,200,242,285
male,58,140,135,167,205,247,291
male,58,145,139,172,210,253,297
male,58,150,143,176,215,258,302
male,63,40,28,42,62,84,109
male,63,45,34,50,70,94,121
male,63,50,40,57,79,104,132
male,63,55,45,64,87,113,142
male,63,60,51,71,95,122,152
male,63,65,56,77,102,130,161
male,63,70,62,83,109,138,170
male,63,75,67,89,116,146,178
male,63,80,72,95,122,153,186
male,63,85,77,100,129,160,194
male,63,90,81,106,135,167,202
male,63,95,86,111,141,174,209
male,63,100,90,116,146,180,216
male,63,105,95,121,152,186,222
male,63,110,99,126,157,192,229
male,63,115,103,130,162,198,235
male,63,120,107,135,168,204,241
male,63,125,111,139,172,209,247
male,63,130,115,144,177,214,253
male,63,135,119,148,182,220,259
male,63,140,122,152,187,225,264
male,63,145,126,156,191,229,269
male,63,150,130,160,195,234,275
female,18,40,35,53,74,100,128
female,18,45,38,56,78,104,133
female,18,50,40,59,82,108,137
female,18,55,43,61,85,112,141
female,18,60,45,64,88,115,145
female,18,65,47,66,90,118,149
female,18,70,48,68,93,121,152
female,18,75,50,70,95,124,155
female,18,80,52,72,98,127,158
female,23,40,37,56,79,106,135
female,23,45,40,59,83,110,140
female,23,50,43,62,86,114,145
female,23,55,45,65,90,118,149
female,23,60,47,68,93,122,153
female,23,65,49,70,96,125,157
female,23,70,51,72,98,128,161
female,23,75,53,75,101,131,164
female,23,80,55,77,103,134,167
female,28,40,38,56,79,106,136
female,28,45,40,59,83,111,141
female,28,50,43,62,87,115,146
female,28,55,45,65,90,119,150
female,28,60,47,68,93,122,154
female,28,65,49,70,96,126,158
female,28,70,51,73,99,129,161
female,28,75,53,75,101,132,165
female,28,80,55,77,104,135,168
female,33,40,38,56,79,106,136
female,33,45,40,59,83,111,141
female,33,50,43,62,87,115,146
female,33,55,45,65,90,119,150
female,33,60,47,68,93,122,154
female,33,65,49,70,96,126,158
female,33,70,51,73,99,129,161
female,33,75,53,75,101,132,165
female,33,80,55,77,104,135,168
female,38,40,38,56,79,106,136
female,38,45,40,59,83,111,141
female,38,50,43,62,87,115,146
female,38,55,45,65,90,119,150
female,38,60,47,68,93,122,154
female,38,65,49,70,96,126,158
female,38,70,51,73,99,129,161
female,38,75,53,75,101,132,165
female,38,80,55,77,104,135,168
female,43,40,36,54,77,103,132
female,43,45,39,57,80,107,137
