gender,age,bodyweight,beginner,novice,intermediate,advanced,elite
male,18,40,6,14,26,43,62
male,18,45,7,17,30,48,68
male,18,50,9,19,34,52,73
male,18,55,11,22,37,57,79
male,18,60,13,25,41,61,83
male,18,65,15,27,44,65,88
male,18,70,17,30,47,68,92
male,18,75,19,32,50,72,97
male,18,80,20,34,53,75,100
male,18,85,22,37,56,79,104
male,18,90,24,39,58,82,108
male,18,95,25,41,61,85,111
male,18,100,27,43,63,88,115
male,18,105,29,45,66,91,118
male,18,110,30,47,68,93,121
male,18,115,32,49,70,96,124
male,18,120,33,51,73,99,127
male,18,125,35,52,75,101,130
male,18,130,36,54,77,104,133
male,18,135,38,56,79,106,136
male,18,140,39,58,81,108,138
male,18,145,40,59,83,111,141
male,18,150,42,61,85,113,143
male,23,40,6,15,28,45,66
male,23,45,8,18,32,50,72
male,23,50,10,21,36,55,78
male,23,55,12,23,39,60,83
male,23,60,14,26,43,64,88
male,23,65,16,29,46,68,93
male,23,70,18,31,50,72,98
male,23,75,20,34,53,76,102
male,23,80,22,36,56,80,106
male,23,85,23,39,59,83,110
male,23,90,25,41,62,87,114
male,23,95,27,43,64,90,118
male,23,100,29,45,67,93,121
male,23,105,30,48,70,96,125
male,23,110,32,50,72,99,128
male,23,115,34,52,75,102,131
male,23,120,35,54,77,104,135
male,23,125,37,55,79,107,138
male,23,130,38,57,81,110,141
male,23,135,40,59,84,112,143
male,23,140,41,61,86,115,146
male,23,145,43,63,88,117,149
male,23,150,44,64,90,119,152
male,28,40,6,15,28,45,66
male,28,45,8,18,32,51,72
male,28,50,10,21,36,55,78
male,28,55,12,23,40,60,83
male,28,60,14,26,43,64,89
male,28,65,16,29,47,69,93
male,28,70,18,31,50,73,98
male,28,75,20,34,53,76,102
male,28,80,22,36,56,80,107
male,28,85,23,39,59,83,111
male,28,90,25,41,62,87,115
male,28,95,27,43,65,90,118
male,28,100,29,46,67,93,122
male,28,105,30,48,70,96,125
male,28,110,32,50,72,99,129
male,28,115,34,52,75,102,132
male,28,120,35,54,77,105,135
male,28,125,37,56,79,107,138
male,28,130,38,58,82,110,141
male,28,135,40,59,84,113,144
male,28,140,41,61,86,115,147
male,28,145,43,63,88,118,150
male,28,150,44,65,90,120,152
male,33,40,6,15,28,45,66
male,33,45,8,18,32,51,72
male,33,50,10,21,36,55,78
male,33,55,12,23,40,60,83
male,33,60,14,26,43,64,89
male,33,65,16,29,47,69,93
male,33,70,18,31,50,73,98
male,33,75,20,34,53,76,102
male,33,80,22,36,56,80,107
male,33,85,23,39,59,83,111
male,33,90,25,41,62,87,115
male,33,95,27,43,65,90,118
male,33,100,29,46,67,93,122
male,33,105,30,48,70,96,125
male,33,110,32,50,72,99,129
male,33,115,34,52,75,102,132
male,33,120,35,54,77,105,135
male,33,125,37,56,79,107,138
male,33,130,38,58,82,110,141
male,33,135,40,59,84,113,144
male,33,140,41,61,86,115,147
male,33,145,43,63,88,118,150
male,33,150,44,65,90,120,152
male,38,40,6,15,28,45,66
male,38,45,8,18,32,51,72
male,38,50,10,21,36,55,78
male,38,55,12,23,40,60,83
male,38,60,14,26,43,64,89
male,38,65,16,29,47,69,93
male,38,70,18,31,50,73,98
male,38,75,20,34,53,76,102
male,38,80,22,36,56,80,107
male,38,85,23,39,59,83,111
male,38,90,25,41,62,87,115
male,38,95,27,43,65,90,118
male,38,100,29,46,67,93,122
male,38,105,30,48,70,96,125
male,38,110,32,50,72,99,129
male,38,115,34,52,75,102,132
male,38,120,35,54,77,105,135
male,38,125,37,56,79,107,138
male,38,130,38,58,82,110,141
male,38,135,40,59,84,113,144
male,38,140,41,61,86,115,147
male,38,145,43,63,88,118,150
male,38,150,44,65,90,120,152
male,43,40,6,14,27,44,64
male,43,45,8,17,31,49,70
male,43,50,10,20,35,54,76
male,43,55,12,23,38,58,81
male,43,60,14,25,42,62,86
male,43,65,15,28,45,66,91
male,43,70,17,31,48,70,95
male,43,75,19,33,51,74,99
male,43,80,21,35,54,78,103
male,43,85,23,38,57,81,107
male,43,90,25,40,60,84,111
male,43,95,26,42,63,87,115
male,43,100,28,44,65,90,118
male,43,105,30,46,68,93,122
male,43,110,31,48,70,96,125
male,43,115,33,50,73,99,128
male,43,120,34,52,75,102,131
male,43,125,36,54,77,104,134
male,43,130,37,56,79,107,137
male,43,135,39,58,81,109,140
male,43,140,40,59,83,112,142
male,43,145,42,61,85,114,145
male,43,150,43,63,87,116,148
male,48,40,5,13,25,41,60
male,48,45,7,16,29,46,66
male,48,50,9,19,33,50,71
male,48,55,11,21,36,55,76
male,48,60,13,24,39,59,81
male,48,65,14,26,42,62,85
male,48,70,16,29,45,66,89
male,48,75,18,31,48,70,93
male,48,80,20,33,51,73,97
male,48,85,21,35,54,76,101
male,48,90,23,37,56,79,104
male,48,95,25,40,59,82,108
male,48,100,26,42,61,85,111
male,48,105,28,43,64,88,114
male,48,110,29,45,66,90,117
male,48,115,31,47,68,93,120
male,48,120,32,49,70,95,123
male,48,125,34,51,72,98,126
male,48,130,35,52,74,100,129
male,48,135,36,54,76,103,131
male,48,140,38,56,78,105,134
male,48,145,39,57,80,107,136
male,48,150,40,59,82,109,139
male,53,40,5,12,24,38,56
male,53,45,7,15,27,43,61
male,53,50,8,17,30,47,66
male,53,55,10,20,33,51,70
male,53,60,12,22,37,54,75
male,53,65,13,24,39,58,79
male,53,70,15,27,42,61,83
male,53,75,17,29,45,65,87
male,53,80,18,31,47,68,90
male,53,85,20,33,50,71,94
male,53,90,21,35,52,73,97
male,53,95,23,37,55,76,100
male,53,100,24,39,57,79,103
male,53,105,26,40,59,81,106
male,53,110,27,42,61,84,109
male,53,115,29,44,63,86,112
male,53,120,30,45,65,89,114
male,53,125,31,47,67,91,117
male,53,130,32,49,69,93,119
male,53,135,34,50,71,95,122
male,53,140,35,52,73,97,124
male,53,145,36,53,74,99,126
